Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
2131.3,0.20798,169.3,2.2733,0.011617,0.011617403867500929
2131.1,0.20798,169.3,2.2733,0.011618,0.011617612068648886
2135.5,0.20811,169.3,2.2733,0.011703,0.01170334543917065
2135.6,0.20811,169.3,2.2733,0.011706,0.01170584455940978
2135.7,0.20811,169.3,2.2733,0.011707,0.011706921262328134
2124.4,0.20809,169.3,2.2733,0.011708,0.011708018027814248
2124.3,0.20809,169.3,2.2733,0.011709,0.011709155093725736
2116.4,0.2086,169.3,2.2733,0.011874,0.011873783256742893
2118.0,0.20914,169.3,2.2733,0.011885,0.011884902922609153
2119.1,0.20782,169.3,2.2733,0.011961,0.011961476521356451
