Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
624.66,7.8435,122.55,19.496,0.20326,0.12783,0.12161,0.070731,0.90953,0.086648,0.092789,0.22293,0.036714,1.8720443900489894
616.31,7.8186,122.3,19.495,0.20322,0.12777,0.12165,0.070702,0.91381,0.086714,0.092776,0.22291,0.036639,1.876192480946037
622.14,7.9778,122.8,19.486,0.20365,0.12779,0.12173,0.070719,0.91371,0.086923,0.09281,0.22292,0.036779,1.8770342936702578
596.55,7.3336,122.92,19.501,0.20203,0.1276,0.12154,0.070614,0.91875,0.08621,0.092691,0.22284,0.036202,1.8784727614729078
619.39,7.6966,123.23,19.507,0.20294,0.12778,0.12159,0.070693,0.91702,0.08652,0.09277,0.22291,0.036599,1.8788139652597633
617.69,7.4314,122.76,19.511,0.20216,0.1278,0.1214,0.070698,0.91893,0.086053,0.092717,0.22291,0.036406,1.8790662551183277
623.2,8.0128,123.18,19.489,0.20375,0.12777,0.12176,0.070715,0.91578,0.086984,0.092818,0.22292,0.036808,1.8793128440744293
628.97,7.8006,124.22,19.474,0.20335,0.12782,0.12164,0.07073,0.91881,0.086623,0.092819,0.22293,0.036763,1.8814807437054577
641.31,8.0529,125.12,19.497,0.20392,0.12785,0.12173,0.070757,0.91952,0.08691,0.092859,0.22295,0.03699,1.8834828291722687
623.15,7.7826,125.46,19.467,0.20346,0.12772,0.12175,0.07069,0.92187,0.086755,0.092831,0.2229,0.036736,1.8847150063323144
