Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
349.31,1.5189,212.99,6.2106,0.14167,0.11423,0.042232,0.034743,0.10264,0.54801,0.13584,0.22469,0.057798,1.4018535149216884
350.27,1.5067,212.5,6.2545,0.14186,0.11423,0.042045,0.034839,0.10268,0.55514,0.13587,0.22473,0.057847,1.4092391869998593
346.7,1.5883,210.11,6.1438,0.14093,0.11414,0.042687,0.034626,0.10275,0.60001,0.1356,0.22453,0.058224,1.453491087523528
346.5,1.52,213.18,6.3972,0.14191,0.1143,0.041556,0.035239,0.10303,0.61074,0.13556,0.22486,0.059161,1.4663567094379506
343.89,1.6163,210.31,6.1628,0.14068,0.11415,0.042695,0.034688,0.1029,0.63953,0.1354,0.22452,0.05881,1.4933789118564729
339.3,1.6163,210.44,6.2693,0.14082,0.11427,0.042281,0.035008,0.10315,0.66075,0.13516,0.22467,0.059861,1.5159698188382253
341.54,1.5237,208.4,6.4686,0.14201,0.11439,0.041357,0.035537,0.10324,0.70704,0.13539,0.22499,0.059972,1.5639264242304112
333.67,1.5441,241.35,6.4306,0.14127,0.11462,0.041307,0.035246,0.10314,0.70974,0.13486,0.22511,0.061265,1.5665449036093195
361.61,1.4845,190.06,6.1753,0.14223,0.11395,0.042563,0.034655,0.1025,0.73271,0.1365,0.22447,0.05585,1.585442263539821
334.29,1.6736,209.41,6.1608,0.14011,0.11424,0.042876,0.034771,0.10318,0.73502,0.13496,0.22454,0.060039,1.5897319180605654
