Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1609.9,0.16428,124.77,4.7687,0.11092,0.055826,0.10431,0.3038,0.1387,0.033474,0.25127,0.11325,0.13813,1.2496750801068865
1612.4,0.16441,124.75,4.8025,0.11099,0.055301,0.10397,0.30575,0.13852,0.033293,0.2515,0.11329,0.13786,1.2504813098185221
1614.8,0.16455,124.88,4.8036,0.111,0.055284,0.10396,0.3069,0.1385,0.033286,0.2515,0.11329,0.13785,1.2515728912783453
1419.6,0.18166,123.86,5.2737,0.10095,0.047353,0.099346,0.33737,0.13591,0.031225,0.25445,0.11438,0.13468,1.2556451678703964
1419.7,0.18162,123.82,5.2742,0.10096,0.047349,0.099342,0.33766,0.1359,0.031221,0.25445,0.11438,0.13467,1.255930915016363
1593.7,0.16477,125.34,4.7822,0.11073,0.055522,0.10416,0.31132,0.13866,0.033424,0.25137,0.11329,0.13803,1.2565070660136086
1420.3,0.18168,123.84,5.3173,0.096689,0.04669,0.099047,0.3445,0.13566,0.031091,0.25467,0.11443,0.13441,1.2571818010167672
1418.9,0.18073,123.86,5.2721,0.10144,0.047326,0.099376,0.34006,0.13595,0.031246,0.25444,0.11437,0.13468,1.2588892180288018
1418.8,0.18071,123.86,5.2721,0.10141,0.047324,0.099377,0.34025,0.13595,0.031248,0.25444,0.11437,0.13468,1.2590482222631367
1430.3,0.17925,125.01,5.29,0.10112,0.046935,0.09934,0.34117,0.13592,0.031263,0.25449,0.11436,0.13457,1.2591774467755987
