Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
445.22,0.51833,98.917,12.488,2.8929e-06,0.064116,0.087068,0.05555,0.12785,0.067565,0.24815,0.6502987946339853
445.57,0.51505,98.904,12.642,2.8151e-06,0.064015,0.086881,0.055594,0.12794,0.067751,0.24851,0.6506951046888838
447.64,0.51814,98.528,12.491,2.8929e-06,0.064086,0.087006,0.055562,0.12792,0.067637,0.24859,0.6508016981120882
445.18,0.51833,98.011,12.487,2.8447e-06,0.064087,0.086947,0.05557,0.12794,0.067692,0.24862,0.6508555588198256
447.93,0.51806,98.528,12.505,2.8975e-06,0.064076,0.086991,0.055564,0.12793,0.067653,0.24865,0.65086242068253
446.94,0.51735,98.347,12.491,2.8173e-06,0.064076,0.086956,0.055583,0.12794,0.067675,0.2487,0.6509260302549056
447.12,0.51775,98.102,12.58,2.827e-06,0.064014,0.086855,0.055594,0.12801,0.067788,0.24867,0.6509291563785805
442.96,0.51797,98.736,12.479,2.8418e-06,0.064128,0.087047,0.055557,0.12784,0.067575,0.24916,0.651304707818288
444.4,0.51769,98.918,12.49,2.9e-06,0.064126,0.087072,0.055545,0.12783,0.067562,0.24917,0.651314076774193
447.93,0.51809,98.003,12.506,2.8424e-06,0.064052,0.086912,0.055585,0.12799,0.067731,0.24915,0.6514163569772846
