Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1149.7,0.32043,147.78,5.5081,0.012365,0.012365193383865615
1149.7,0.32043,147.78,5.5081,0.012365,0.012365193383865615
1149.7,0.32043,147.78,5.5081,0.012365,0.012365193383865615
1149.7,0.32043,147.78,5.5081,0.012365,0.012365193383865615
1149.7,0.32043,147.78,5.5081,0.012365,0.01236519338386564
1149.7,0.32043,147.78,5.5081,0.012365,0.01236519338386564
1149.7,0.32043,147.78,5.5081,0.012365,0.01236519338386564
1149.7,0.32043,147.78,5.5081,0.012365,0.01236519338386564
1149.7,0.32043,147.78,5.5081,0.012365,0.01236519338386564
1149.7,0.32043,147.78,5.5081,0.012365,0.012365193383865644
