Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
449.28,0.79001,121.12,11.367,7.3608e-05,0.12629,0.065877,0.088597,0.054974,0.064728,0.3383,0.7387737755722796
453.63,0.77763,121.14,11.369,7.3341e-05,0.12635,0.065926,0.088564,0.054986,0.064719,0.33948,0.7400225252359744
447.3,0.78435,121.62,11.559,7.3616e-05,0.1264,0.066012,0.088442,0.055014,0.064584,0.34163,0.7420812096238271
448.87,0.80032,120.44,11.107,7.3612e-05,0.12609,0.065673,0.088834,0.054873,0.064968,0.34379,0.744231193634284
457.29,0.77467,120.74,11.464,7.3367e-05,0.12643,0.066031,0.08846,0.055005,0.064649,0.34418,0.7447477477186881
444.78,0.79042,121.11,11.647,7.3602e-05,0.12642,0.066056,0.08839,0.055011,0.064545,0.34522,0.7456356750799563
443.52,0.80582,119.85,11.245,7.3163e-05,0.12613,0.065751,0.088736,0.054898,0.064885,0.34578,0.7461781530056619
453.62,0.79005,119.83,11.124,7.3623e-05,0.12617,0.065736,0.088791,0.054883,0.064955,0.3465,0.747037207232766
447.26,0.78686,122.46,11.671,7.3624e-05,0.12643,0.066067,0.088371,0.055024,0.064501,0.34755,0.7479352758375224
452.12,0.7927,121.01,11.357,7.3583e-05,0.12628,0.06588,0.088598,0.054961,0.064741,0.35121,0.751665785958469
