Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
609.9,0.62428,141.14,9.0797,0.15925,0.11901,0.12434,0.05672,0.14048,0.12125,0.34041,0.070619,0.39368,1.5257535524779453
609.45,0.61783,141.58,9.0899,0.15927,0.11895,0.12429,0.056701,0.14049,0.12152,0.34183,0.070566,0.40133,1.5349567871004284
642.06,0.59494,139.06,8.9393,0.15937,0.11911,0.1247,0.056987,0.14027,0.12026,0.37861,0.070801,0.36769,1.5377967445113987
643.37,0.5952,138.86,8.9228,0.15938,0.11912,0.12476,0.057018,0.14024,0.12022,0.3851,0.070804,0.36653,1.5431640324918012
626.76,0.59751,142.53,8.9587,0.15951,0.11875,0.12466,0.05695,0.14014,0.12227,0.37759,0.070409,0.37302,1.5433051231048973
614.9,0.61794,141.84,8.913,0.15957,0.11873,0.12484,0.057043,0.14007,0.12269,0.39976,0.07043,0.35512,1.548250726064663
621.76,0.60589,142.68,8.962,0.15951,0.11874,0.12469,0.056947,0.14014,0.12245,0.38594,0.070385,0.36985,1.5486513361574734
598.05,0.66408,140.23,9.0785,0.15914,0.11917,0.12444,0.056737,0.14047,0.12084,0.38489,0.07072,0.37494,1.5513550677354433
642.54,0.60295,138.37,8.9565,0.15927,0.11924,0.1247,0.056957,0.14033,0.11967,0.39213,0.070892,0.37219,1.5553676696870102
642.56,0.60344,138.4,8.9162,0.15934,0.11919,0.12481,0.057031,0.14023,0.11993,0.39921,0.070843,0.3676,1.5581963479023748
