Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
672.53,0.45464,118.57,4.577,0.1395,0.10596,0.059708,0.25015,0.50587,0.11322,0.1089,0.034475,0.13939,1.457188025649614
672.71,0.46513,117.67,4.5824,0.1394,0.10592,0.059758,0.25019,0.50663,0.11319,0.10928,0.034448,0.1393,1.4581172039192698
669.5,0.45487,118.7,4.5717,0.13956,0.10602,0.059769,0.25011,0.50806,0.11322,0.10883,0.03451,0.13945,1.4595348113045044
671.27,0.45463,118.55,4.5868,0.13942,0.10586,0.059526,0.25021,0.50858,0.11324,0.10899,0.034419,0.13933,1.4595769224521158
672.65,0.45112,118.58,4.6355,0.13902,0.10533,0.058671,0.25054,0.51741,0.11332,0.10933,0.034144,0.13899,1.466769235443727
681.98,0.45196,117.75,4.6294,0.13904,0.10538,0.058906,0.25052,0.51737,0.11329,0.1094,0.03415,0.13897,1.467038110457934
670.77,0.46812,117.47,4.6283,0.139,0.10546,0.058996,0.25048,0.51707,0.11325,0.1098,0.0342,0.13896,1.4672246427634468
670.86,0.46809,117.61,4.6289,0.139,0.10546,0.058983,0.25049,0.5176,0.11325,0.1098,0.034202,0.13896,1.4677348889526525
672.4,0.45363,119.44,4.5822,0.13946,0.10592,0.059572,0.25018,0.51715,0.11323,0.10892,0.034465,0.13936,1.4682556173699777
666.47,0.46371,117.87,4.6302,0.13902,0.10543,0.058864,0.25049,0.52026,0.11328,0.10964,0.034199,0.139,1.4701885394873724
