Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
647.15,0.40789,118.69,19.892,0.084929,0.069669,0.19733,0.055772,0.12985,0.061974,0.599531512446579
638.56,0.41547,118.85,19.896,0.085011,0.069544,0.19765,0.055778,0.12974,0.061961,0.5996925869451918
647.74,0.40492,118.99,19.894,0.084932,0.069669,0.19808,0.05577,0.12986,0.061988,0.6003052264596581
634.0,0.42036,118.68,19.902,0.085036,0.069496,0.19895,0.055776,0.12967,0.061957,0.6008786896980395
638.64,0.40758,120.79,19.907,0.085099,0.069428,0.19927,0.055798,0.12974,0.061989,0.6013204058197351
647.62,0.40872,118.2,19.892,0.084899,0.069713,0.20006,0.055766,0.12987,0.061972,0.6022790362722314
647.78,0.39943,120.41,19.898,0.084995,0.06958,0.20107,0.055783,0.12984,0.06201,0.6032720066925197
647.33,0.40956,117.87,19.871,0.084883,0.06973,0.20224,0.055754,0.12985,0.061976,0.6044276508703034
640.83,0.41237,118.09,19.89,0.084936,0.069656,0.20308,0.055754,0.12979,0.061983,0.6052074371238529
624.14,0.41106,119.39,19.536,0.085096,0.069318,0.20454,0.055615,0.12912,0.062112,0.6057999627926103
