Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
482.14,0.50125,99.021,11.356,3.9338e-06,0.064608,0.088066,0.055118,0.12767,0.066533,0.21035,0.6123431188138442
482.14,0.50161,99.021,11.356,3.9338e-06,0.064606,0.088063,0.055119,0.12766,0.066535,0.21052,0.6125086177048832
482.31,0.50186,98.897,11.426,4.048e-06,0.06458,0.087976,0.055125,0.12766,0.066632,0.21614,0.6181161600625975
482.59,0.50307,99.441,11.855,3.9693e-06,0.064445,0.087721,0.055147,0.12766,0.066921,0.22314,0.6250338306043343
483.47,0.50105,99.483,11.576,4.2382e-06,0.06454,0.087871,0.055126,0.12763,0.066752,0.22566,0.6275789740757781
486.7,0.5004,99.077,11.569,4.2331e-06,0.064507,0.087831,0.055147,0.12768,0.066798,0.22632,0.6282800384225982
483.5,0.50105,99.996,11.58,4.2804e-06,0.064547,0.087891,0.055124,0.1276,0.066726,0.22775,0.6296396289204017
484.78,0.5001,98.794,11.596,4.2311e-06,0.064518,0.087799,0.055134,0.12767,0.066833,0.22842,0.6303717581475996
485.67,0.5003,100.01,11.576,4.2806e-06,0.06453,0.087889,0.055137,0.12763,0.066732,0.22852,0.6304347154905356
483.43,0.50082,100.14,11.585,4.2995e-06,0.064551,0.087895,0.055121,0.12759,0.066721,0.22906,0.6309351692401624
