Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
322.23,725.85,81.123,2.7673,0.099635,0.13966,0.042952,0.1158,0.22143,0.11741,0.085142,0.29313,0.09541,1.2105585644355612
322.23,740.76,81.123,2.7673,0.099791,0.13967,0.042966,0.11584,0.22139,0.11744,0.085389,0.29533,0.09534,1.2131611803691726
320.65,748.29,80.469,2.7661,0.099911,0.13967,0.042979,0.11585,0.22137,0.11748,0.085579,0.30283,0.095296,1.220962908958891
325.2,727.97,80.953,2.7624,0.099698,0.13966,0.042934,0.11583,0.22147,0.11742,0.085209,0.30411,0.095416,1.2217524139931135
322.04,723.5,81.012,2.7059,0.10067,0.13986,0.042933,0.11616,0.22175,0.1173,0.086687,0.30732,0.095497,1.2281737886754012
318.81,723.46,81.991,2.7357,0.10021,0.13979,0.04296,0.11599,0.22156,0.11731,0.086051,0.3105,0.095393,1.229759761872869
317.55,725.96,81.525,2.8281,0.098671,0.13951,0.043004,0.11544,0.22107,0.1175,0.083723,0.31619,0.095425,1.230531676416877
323.58,724.91,82.41,2.6135,0.10226,0.14019,0.042936,0.11677,0.22223,0.11718,0.088964,0.30645,0.095771,1.2327543099609208
323.37,727.97,78.904,2.8469,0.098255,0.13938,0.042969,0.11527,0.22103,0.11767,0.082987,0.32045,0.095469,1.2334715549724198
316.63,725.69,80.092,2.9778,0.096215,0.13915,0.043155,0.11459,0.22035,0.118,0.079905,0.32845,0.095454,1.2352661959183322
