Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.020429,4.4225e-07,772.66,490.21,176.81,777.1,81.697,3.2664,0.22223,0.13611,0.044431,0.11861,0.11355,0.093763,0.053804,0.22612,0.077029,1.0856538575234986
0.020428,4.508e-07,772.66,488.43,176.58,777.1,81.312,3.2671,0.22297,0.13613,0.044468,0.11866,0.11351,0.093758,0.053735,0.22615,0.076951,1.0863337574574592
0.020785,4.4966e-07,772.89,489.12,176.57,777.18,81.317,3.2673,0.22492,0.13613,0.04445,0.11864,0.11353,0.093757,0.053763,0.22615,0.076978,1.0883206681370186
0.020513,4.4513e-07,770.85,495.28,178.48,776.6,81.613,3.2822,0.22702,0.13612,0.044442,0.11864,0.11352,0.093745,0.053466,0.22594,0.07683,1.0897120299243122
0.020679,4.5075e-07,774.42,488.48,176.39,766.28,82.116,3.2663,0.22757,0.13615,0.044449,0.1186,0.11351,0.093874,0.053754,0.22621,0.076805,1.0909294351282803
0.020393,4.4769e-07,770.79,492.67,175.99,784.38,82.32,3.2601,0.22702,0.13601,0.044317,0.1185,0.11369,0.093775,0.054162,0.22607,0.07746,1.0909986250295214
0.020769,4.488e-07,772.72,493.1,180.25,776.99,81.33,3.2666,0.22824,0.13611,0.044387,0.11863,0.11353,0.093711,0.053784,0.22604,0.07701,1.091435141390069
0.020398,4.4663e-07,771.01,492.73,178.19,766.18,81.611,3.2791,0.22894,0.13618,0.044476,0.11867,0.11344,0.093849,0.05338,0.22603,0.076594,1.0915529522571124
0.020436,4.5039e-07,772.65,488.43,179.51,777.23,81.31,3.2665,0.22846,0.13612,0.044477,0.11869,0.11349,0.093727,0.053699,0.22609,0.076901,1.0916482243153087
0.020139,4.5047e-07,764.97,489.78,176.17,774.16,82.358,3.2731,0.22857,0.13607,0.044478,0.1186,0.11353,0.093841,0.053631,0.22597,0.076986,1.091673777091779
