Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1772.8,0.13513,123.7,15.424,0.070283,0.085126,0.12975,0.25279,0.062933,0.056024,0.6569048389210718
1772.7,0.13516,123.71,15.437,0.070287,0.085123,0.12976,0.25285,0.06293,0.056025,0.6569688376641716
1772.7,0.13523,123.61,15.437,0.070298,0.085116,0.12976,0.25293,0.06293,0.056024,0.6570655244043655
1776.7,0.13516,123.77,15.456,0.070293,0.08512,0.12978,0.25322,0.062918,0.056028,0.6573594807647255
1758.0,0.13584,123.71,15.623,0.070365,0.085058,0.12977,0.25351,0.062907,0.056022,0.6576239960827988
1779.8,0.13458,124.2,15.424,0.070229,0.085165,0.12974,0.25357,0.062925,0.056033,0.6576598673553344
1754.4,0.13579,123.67,15.425,0.070291,0.085109,0.12969,0.2537,0.062954,0.056014,0.6577599686172433
1772.0,0.13499,123.63,15.524,0.070319,0.085103,0.12978,0.25408,0.062917,0.056025,0.6582261461135472
1776.8,0.13559,123.61,15.428,0.070311,0.085106,0.12979,0.25424,0.062919,0.056027,0.6583929155720994
1772.1,0.13448,123.92,15.128,0.070134,0.08523,0.12962,0.2546,0.063014,0.056011,0.65861039636978
