Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1623.5,0.20539,153.82,5.9647,0.17248,0.13021,0.41033,0.29219,0.25906,0.10101,0.1171,0.12076,0.12934,1.7324884191167986
1614.7,0.20584,154.33,5.9427,0.17243,0.13023,0.40605,0.30093,0.25904,0.10097,0.1171,0.12087,0.12926,1.7368935755302857
1612.3,0.20629,152.66,5.9604,0.17253,0.13018,0.40904,0.29907,0.25903,0.10099,0.11709,0.12075,0.12937,1.7380511935916683
1624.2,0.20599,153.72,5.9798,0.17253,0.13018,0.41687,0.29223,0.25908,0.10104,0.1171,0.12068,0.12939,1.7390819985956236
1641.4,0.20318,153.78,5.9543,0.17243,0.13024,0.41448,0.29572,0.25902,0.10102,0.11708,0.12085,0.12932,1.7401581091567508
1637.4,0.2043,152.75,5.9829,0.17254,0.13018,0.4234,0.28759,0.25905,0.10107,0.11708,0.12068,0.12943,1.7410083409887585
1636.5,0.20314,153.75,5.9504,0.17242,0.13026,0.41135,0.30068,0.25903,0.10101,0.11708,0.12087,0.1293,1.7419971923154025
1642.7,0.20358,153.14,5.9877,0.17251,0.13021,0.42478,0.28831,0.25908,0.10108,0.11708,0.12067,0.12943,1.7431566005867585
1622.2,0.20464,153.07,5.9377,0.17245,0.13022,0.40882,0.30524,0.25899,0.10097,0.11708,0.1209,0.1293,1.743965513503168
1638.8,0.20452,153.67,5.9859,0.17251,0.13019,0.42262,0.29275,0.25907,0.10107,0.11709,0.12067,0.12941,1.7453932192278534
