Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1892.4,0.12533,124.9,15.358,0.12944,0.21467,0.055828,0.085147,0.0703,0.0632,0.6185907997888764
1893.5,0.12502,124.76,15.56,0.1295,0.21602,0.05583,0.085077,0.070374,0.06315,0.6199552879331195
1892.4,0.12465,125.25,15.578,0.12939,0.21635,0.055828,0.085136,0.070306,0.063146,0.6201612330015872
1893.4,0.12508,124.53,15.564,0.12954,0.21623,0.05583,0.08505,0.070405,0.063152,0.6202028352513302
1903.5,0.12453,124.3,15.559,0.12961,0.21672,0.055832,0.085009,0.070448,0.063156,0.6207730800724591
1993.6,0.11952,123.66,15.13,0.12993,0.21693,0.055836,0.084933,0.070509,0.063283,0.621426229167261
1889.1,0.12629,124.56,15.389,0.12955,0.21753,0.055835,0.085094,0.070365,0.063183,0.6215611302657458
1893.4,0.12472,124.18,15.812,0.12962,0.21896,0.055832,0.084952,0.070513,0.063095,0.6229732367988958
1887.9,0.12511,123.68,14.69,0.12924,0.22009,0.055772,0.085227,0.070207,0.063422,0.6239554500638216
1896.3,0.12554,124.81,15.586,0.12957,0.22006,0.05584,0.085059,0.070397,0.063129,0.6240533821834003
