iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,220.26,28.858,64.17,15.819,4.7048e-05,0.07752494732432356,0.07310435329680331,0.10079478570176865
2,178.03,3.1378,42.906,15.998,3.3181e-05,0.3211453960156534,0.07368567978022149,0.34460027635987095
3,273.82,49.674,61.143,15.999,5.5658e-05,0.025054830352558743,0.07350709458382991,0.048452865263238776
4,255.23,50.664,65.103,15.723,5.6349e-05,0.014743505441857561,0.0732863802019778,0.03807128478277112
5,710.4,0.30458,62.623,15.629,5.6546e-05,0.7893367602315813,0.07400930389133566,0.812894653329774
6,239.07,188.11,64.257,15.959,5.7228e-05,0.013880275648249386,0.07343321126814364,0.03725479276912244
7,266.51,41.836,65.527,15.961,5.7624e-05,0.018382007033295254,0.07332887524513614,0.04172331296655993
8,256.1,51.331,65.372,15.998,5.6031e-05,0.01379232221968536,0.07329558039054318,0.03712303007157404
9,244.51,110.16,65.529,15.838,5.7018e-05,0.015605389703500717,0.07327682971607966,0.03893012903033505
10,238.35,114.44,64.739,15.857,7.1954e-05,0.036774381428558045,0.07328685325830468,0.06010231134797718
