Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
458.04,0.81701,121.26,10.728,6.5902e-05,0.12891,0.065011,0.089461,0.054868,0.064419,0.52412,0.9267893339808642
460.34,0.82112,120.75,10.843,6.5682e-05,0.12899,0.065166,0.089306,0.054877,0.064346,0.52584,0.9285233404318837
444.6,0.81954,124.41,10.843,6.5683e-05,0.1284,0.064792,0.089547,0.054916,0.064507,0.52677,0.9289305348954944
425.63,0.90893,120.96,10.845,6.5683e-05,0.12834,0.064935,0.089477,0.054814,0.064384,0.5382,0.9401502440721712
422.55,0.90918,121.35,10.849,6.5539e-05,0.12824,0.064884,0.089509,0.054821,0.064412,0.54008,0.9419526029860799
422.38,0.91076,121.31,10.862,6.56e-05,0.12825,0.064892,0.0895,0.05482,0.064405,0.54023,0.9420969816084683
419.04,0.94257,118.5,10.866,6.5694e-05,0.12832,0.064995,0.089434,0.054774,0.064356,0.5405,0.9423857940933625
427.92,0.91329,120.78,10.678,6.5608e-05,0.12837,0.064887,0.089569,0.05479,0.064403,0.54182,0.9438417407571933
429.58,0.90635,120.86,10.857,6.5601e-05,0.12842,0.064997,0.089422,0.054818,0.064351,0.54211,0.9441094202594755
422.44,0.91845,120.98,10.857,6.5605e-05,0.12827,0.06492,0.089481,0.054812,0.064385,0.54229,0.9441588391893709
