Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1450.5,0.18627,122.22,5.4543,0.094357,0.04623,0.098651,0.28478,0.13514,0.031065,0.2547,0.11435,0.13337,1.1926490696465146
1450.7,0.18657,122.22,5.4653,0.093074,0.046054,0.098592,0.28673,0.13507,0.031042,0.25475,0.11435,0.13327,1.1929359512356013
1450.8,0.1863,122.23,5.4696,0.092645,0.045971,0.098573,0.28753,0.13505,0.031035,0.25477,0.11436,0.13323,1.1931644705064008
1451.1,0.18628,122.27,5.4676,0.092903,0.046005,0.098585,0.28737,0.13507,0.031042,0.25476,0.11436,0.13325,1.1933378730688007
1452.3,0.18634,122.24,5.467,0.092827,0.046026,0.098586,0.28759,0.13506,0.031039,0.25476,0.11435,0.13325,1.1934953092695384
1455.0,0.18621,122.06,5.4015,0.099949,0.04714,0.098929,0.28057,0.13543,0.031177,0.25445,0.1143,0.13377,1.1957248853053666
1418.3,0.18966,122.44,5.5056,0.091161,0.045251,0.098371,0.29329,0.13491,0.031017,0.25494,0.11437,0.13305,1.1963546107763228
1444.8,0.1863,122.07,5.4595,0.094067,0.046114,0.098618,0.28896,0.13511,0.031052,0.25474,0.11435,0.13334,1.1963579585259425
1417.4,0.18975,122.71,5.5074,0.091389,0.04519,0.098373,0.29553,0.13493,0.031034,0.25494,0.11437,0.13305,1.1988089094381682
1454.3,0.18662,120.75,5.3892,0.099825,0.047416,0.098957,0.28412,0.13537,0.031124,0.25441,0.11429,0.13379,1.1993048112806388
