Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
927.08,0.45927,152.85,3.0506,0.15177,0.4354,0.24867,0.094516,0.17791,0.17923,0.070911,0.15514,0.10132,1.6148750406836272
946.06,0.44383,154.48,3.0646,0.15158,0.44024,0.24884,0.094513,0.17787,0.17931,0.070818,0.15496,0.10125,1.619385417851537
921.38,0.45697,151.02,3.0667,0.15156,0.44517,0.24872,0.094455,0.17773,0.1793,0.07078,0.15488,0.1012,1.6238018882893395
937.39,0.44925,149.72,3.0991,0.15119,0.44945,0.24879,0.094367,0.17736,0.17943,0.070557,0.15445,0.10099,1.6265811876829002
925.29,0.4649,153.27,3.0589,0.1517,0.44818,0.24866,0.0945,0.17781,0.17927,0.070873,0.15503,0.10129,1.6273216047538175
933.94,0.45565,150.79,3.0508,0.15176,0.4506,0.2486,0.094526,0.17784,0.17922,0.070885,0.15511,0.10129,1.6298220112762944
937.88,0.45927,151.97,3.038,0.15193,0.45028,0.24853,0.09454,0.17796,0.17917,0.07099,0.1553,0.10138,1.6300800305874217
873.11,0.49771,152.51,3.0143,0.15217,0.45348,0.24855,0.094515,0.1783,0.17906,0.071151,0.15555,0.10155,1.6343156044618006
919.81,0.44723,153.93,3.0747,0.15143,0.45629,0.24898,0.094441,0.17784,0.17936,0.070738,0.15477,0.10118,1.6350310090553406
868.55,0.49764,152.29,3.0193,0.1521,0.45454,0.24859,0.094504,0.17828,0.17908,0.071116,0.15547,0.10151,1.635192822308324
