Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
442.23,0.035085,86.892,3.6555,0.043872,0.098934,0.054735,0.1354,0.22098,0.08176,0.39663,0.11654,0.11618,1.2650276765396755
388.82,0.33916,76.028,3.4207,0.04461,0.096067,0.053128,0.13522,0.22136,0.08101,0.44031,0.11786,0.114,1.3035732891162977
336.73,2.4608,78.784,3.6511,0.045353,0.094973,0.047532,0.13438,0.22066,0.076203,0.45434,0.11947,0.11291,1.3058261604804686
336.82,2.394,79.131,3.397,0.044791,0.09502,0.052126,0.13531,0.22102,0.080039,0.45156,0.11814,0.11313,1.3111421846413944
461.11,12.592,91.697,1.9952,0.043214,0.10448,0.099489,0.14604,0.22869,0.11257,0.34761,0.11482,0.12163,1.3185399671607512
458.75,12.97,91.464,2.0072,0.043227,0.10421,0.098999,0.14587,0.22858,0.11222,0.35001,0.11476,0.1215,1.319375102499576
449.51,13.709,91.454,2.0192,0.043268,0.10379,0.098554,0.14569,0.22847,0.11185,0.35179,0.11472,0.12132,1.3194521945166144
452.65,13.643,91.321,2.0171,0.043258,0.10389,0.09863,0.14572,0.22849,0.11192,0.35169,0.11473,0.12136,1.319685817152669
449.64,13.767,91.384,2.0192,0.043268,0.10379,0.098558,0.14569,0.22847,0.11186,0.35227,0.11472,0.12132,1.3199406514038095
447.45,13.656,91.222,2.0321,0.043283,0.10356,0.097994,0.1455,0.22836,0.11147,0.35404,0.11467,0.12117,1.320052924124798
