Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
335.66,0.13894,74.74,9.7098,0.13149,0.11042,0.40079,0.22221,0.040811,0.03526,0.10783,0.051065,0.13888,1.2387534867287653
332.59,0.1589,75.116,9.7325,0.13146,0.11041,0.40495,0.22223,0.040742,0.035165,0.10775,0.051079,0.13882,1.2426077475608261
331.26,0.095608,75.207,9.7027,0.13149,0.11031,0.40641,0.22222,0.040594,0.035266,0.10773,0.051087,0.13881,1.243916724674658
332.23,0.093595,75.218,9.7397,0.13149,0.11032,0.40691,0.22225,0.040535,0.035302,0.10777,0.051096,0.13888,1.244558311616624
331.27,0.14536,75.276,9.4195,0.13147,0.11031,0.40819,0.22191,0.041428,0.03483,0.10741,0.050949,0.13814,1.2446455686850262
333.96,0.1657,75.163,9.9066,0.13146,0.11048,0.40937,0.22239,0.04042,0.035282,0.10791,0.051132,0.13913,1.247561084553102
334.82,0.58085,73.225,9.5415,0.13119,0.11061,0.41193,0.22192,0.041776,0.03475,0.10759,0.050797,0.13826,1.2488303383666406
331.22,0.69181,73.88,9.5663,0.13114,0.11058,0.41542,0.2219,0.041698,0.034596,0.10751,0.050804,0.13812,1.2517580082162958
331.48,0.066428,75.352,9.6996,0.13155,0.11022,0.4152,0.2222,0.040485,0.035433,0.10766,0.051132,0.13889,1.2527720081369382
331.32,0.066478,75.231,9.7159,0.13155,0.11023,0.41511,0.22223,0.040435,0.035474,0.10771,0.05114,0.13895,1.2528231467180961
