Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
569.7,406.65,45.996,240.45,116.28,120.56,63.132,11.648,0.12141,0.27086,0.13158,0.10943,0.34005,0.02381,0.026231,0.099392,0.11736,1.2401273266355082
569.56,410.67,46.856,252.21,116.48,120.48,63.034,11.652,0.12132,0.27062,0.13144,0.11084,0.34504,0.023722,0.026436,0.099395,0.11726,1.2460883586747662
569.68,406.71,45.995,250.59,116.27,121.24,63.135,11.582,0.12149,0.27057,0.13161,0.11166,0.3457,0.023664,0.02639,0.099555,0.11767,1.2483041573104487
569.34,412.36,45.04,241.55,116.43,120.21,63.52,11.625,0.12152,0.27073,0.13172,0.11106,0.35357,0.023777,0.026344,0.099594,0.11752,1.255831029411912
571.64,407.61,46.33,200.21,118.5,124.41,62.612,11.404,0.12139,0.2721,0.13209,0.096063,0.37314,0.024486,0.025287,0.098707,0.11818,1.2614423306201297
569.63,413.23,45.763,262.7,130.93,119.44,62.833,11.635,0.12098,0.27012,0.13109,0.11351,0.36229,0.023694,0.026581,0.099899,0.11874,1.2669088951034788
569.62,410.69,44.927,263.06,140.06,117.56,62.753,11.757,0.12073,0.26999,0.13076,0.11439,0.36276,0.023708,0.026619,0.10012,0.11914,1.2682157394833915
570.13,407.27,50.404,262.43,113.08,124.5,63.581,11.757,0.1211,0.27071,0.13093,0.1065,0.37993,0.023688,0.026577,0.098684,0.11615,1.2742467666118025
573.31,407.08,50.101,250.13,117.54,122.13,63.346,11.974,0.12075,0.27096,0.13068,0.10489,0.38388,0.023886,0.02641,0.098735,0.11597,1.2761653843751082
573.13,347.05,46.252,239.7,119.08,123.1,63.725,11.602,0.12155,0.27058,0.13112,0.1069,0.37908,0.023417,0.025987,0.099706,0.11875,1.277082367364374
