Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g72),Error (g262),Error (g223),Error (g237),Error (g51),Error (curve),Error (g80),Error (g126),Reduced Error
1239.5,0.21107,124.73,5.2271,0.048751,0.11023,0.11409,0.13656,0.099839,0.13487,0.33163,0.25412,0.031476,1.261562430555332
1239.4,0.21103,124.55,5.2261,0.04877,0.11023,0.11409,0.13656,0.099848,0.13488,0.33218,0.25412,0.031475,1.2621501002524866
1239.7,0.21114,124.45,5.2266,0.048772,0.11023,0.11409,0.13656,0.099842,0.13487,0.33222,0.25412,0.031469,1.2621817168203684
1237.9,0.21077,124.73,5.2121,0.048938,0.11011,0.11408,0.13659,0.099949,0.13496,0.33463,0.25405,0.031523,1.2648402282861215
1255.2,0.20866,124.95,5.2518,0.048451,0.11034,0.1141,0.1365,0.099657,0.13474,0.33682,0.25425,0.031412,1.2662675265087486
1240.2,0.21086,124.59,5.2026,0.049097,0.11002,0.11408,0.1366,0.10001,0.13504,0.33622,0.25401,0.031539,1.2666141025754825
1237.4,0.21064,124.94,5.2454,0.048465,0.11026,0.1141,0.13652,0.099727,0.13474,0.33773,0.2542,0.031454,1.2672097537869564
1239.4,0.20975,125.55,5.2217,0.048756,0.11018,0.11409,0.13658,0.099891,0.1349,0.3372,0.25409,0.031531,1.267216633351442
1239.7,0.21108,124.73,5.1985,0.049156,0.10997,0.11408,0.13661,0.10003,0.13507,0.33751,0.25399,0.031552,1.2679648915323154
1249.1,0.21036,124.72,5.227,0.048789,0.11021,0.11409,0.13654,0.099819,0.13489,0.33814,0.25413,0.031456,1.2680793566712814
