Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
908.52,2.7328,190.63,1.8943,0.0,0.0
899.41,2.6825,190.42,1.8755,0.0,0.0
913.39,2.7076,190.71,1.8911,0.0,0.0
923.68,2.7994,184.86,1.9043,0.0,0.0
911.99,2.7398,189.54,1.8924,0.0,0.0
906.99,2.752,188.4,1.8652,0.0,0.0
920.6,2.7076,191.27,1.8851,0.0,0.0
920.82,2.7192,192.67,1.9027,0.0,0.0
919.4,2.7434,190.75,1.9227,0.0,0.0
873.55,2.728,164.16,1.826,0.0,0.0
