Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1745.2,0.13689,121.26,10.778,0.16542,0.088177,0.065202,0.064875,0.1258,0.055467,0.5649358679675214
1740.8,0.1365,121.2,10.765,0.17141,0.088174,0.065209,0.064908,0.12579,0.055455,0.5709457754903678
1739.7,0.13565,121.68,10.786,0.17801,0.088198,0.06517,0.06491,0.12572,0.055461,0.5774720603256447
1591.0,0.14576,119.62,10.732,0.18252,0.087579,0.065634,0.065123,0.12543,0.055412,0.5816942427567382
1699.0,0.13512,120.97,11.018,0.18632,0.087895,0.065416,0.064794,0.12564,0.055488,0.5855487262467716
1693.0,0.14509,116.24,10.825,0.19051,0.08758,0.065856,0.064766,0.12622,0.055447,0.5903723981690692
1747.9,0.13405,121.82,11.039,0.1929,0.088084,0.065249,0.064677,0.12572,0.055529,0.5921512701376921
1745.5,0.13807,121.31,10.563,0.19528,0.088305,0.065119,0.065059,0.12581,0.055412,0.5949895513838819
1755.7,0.13405,121.92,10.784,0.19763,0.088275,0.065115,0.064914,0.12574,0.055457,0.5971313899534771
1738.9,0.13503,123.51,10.749,0.19811,0.088342,0.064981,0.064963,0.12553,0.05547,0.5973890748681434
