Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
123.52,0.17898,227.51,9.5692,0.056045,0.69006,0.1357,0.07919,0.076689,0.069233,1.1069143622548687
122.89,0.18294,228.2,9.595,0.055973,0.6927,0.1355,0.079071,0.076748,0.069282,1.1092779342934513
123.4,0.18775,224.26,9.6243,0.055922,0.69357,0.13545,0.079189,0.076566,0.069306,1.1100008919894992
123.4,0.18775,223.86,9.6243,0.055924,0.69378,0.13546,0.079214,0.076544,0.069312,1.1102345416081525
122.94,0.18861,219.11,9.6412,0.055919,0.69934,0.13562,0.079589,0.076219,0.069461,1.1161421329361856
124.97,0.20087,214.28,9.7033,0.055744,0.7004,0.13524,0.079559,0.076053,0.06941,1.116400595339425
124.95,0.19604,214.3,9.7023,0.055814,0.70002,0.13547,0.079818,0.075909,0.06947,1.1164998105738841
123.93,0.18819,228.13,9.516,0.055915,0.70222,0.13513,0.078298,0.077287,0.068927,1.1177766091995498
125.18,0.20045,213.74,9.7271,0.055745,0.70259,0.1353,0.079759,0.075901,0.069477,1.1187699370742075
122.95,0.17965,225.81,9.4999,0.056054,0.70272,0.13564,0.078868,0.07693,0.069107,1.1193197718670957
