Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
303.04,195.29,73.032,9.7162,0.050093,0.14035,0.11084,0.10738,0.23377,0.04248,0.13392,0.029395,0.2219,1.0701261231708936
301.26,206.16,74.946,9.8942,0.050047,0.1401,0.11083,0.10724,0.25928,0.042258,0.13402,0.029264,0.22185,1.0948902379030376
300.89,195.93,73.38,9.6568,0.050167,0.14015,0.11079,0.10734,0.2615,0.042634,0.1339,0.02939,0.22183,1.0976876656914072
301.25,210.91,75.026,9.769,0.049932,0.13991,0.11066,0.10712,0.26601,0.042572,0.13404,0.029196,0.22168,1.1011345384593478
301.37,207.54,74.96,10.019,0.050021,0.14022,0.11089,0.10726,0.26824,0.042018,0.13407,0.02925,0.22194,1.103914462385783
306.28,206.98,73.975,10.093,0.049783,0.14062,0.11094,0.10731,0.27684,0.041831,0.13414,0.029223,0.22204,1.112723789108311
298.52,206.59,74.855,9.0074,0.050033,0.13893,0.11021,0.10686,0.28604,0.044359,0.13381,0.029197,0.22108,1.1205212932696786
298.87,196.07,74.801,10.039,0.05037,0.14029,0.1111,0.10746,0.29085,0.041898,0.13394,0.02944,0.2221,1.1274365121231251
299.2,189.9,73.075,9.6056,0.050359,0.14014,0.11085,0.10743,0.2928,0.042689,0.13381,0.029509,0.22187,1.1294667343531353
300.93,217.24,75.392,9.8832,0.049842,0.13991,0.11065,0.10705,0.29505,0.042399,0.13414,0.029138,0.22169,1.1298719710413112
