Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1999.0,0.13693,124.37,3.7579,0.11234,0.11699,0.10896,0.075861,0.042084,0.14757,0.14507,0.24441,0.44956,1.442834715068551
1999.0,0.13672,124.37,3.7405,0.11233,0.11726,0.10894,0.076201,0.042317,0.14773,0.14519,0.24429,0.44894,1.4432086794026562
2000.0,0.13661,124.41,3.7358,0.11233,0.11734,0.10896,0.076292,0.042391,0.14778,0.14523,0.24425,0.44922,1.4437972449758536
2000.0,0.13683,124.43,3.7336,0.11233,0.11737,0.10896,0.076342,0.042416,0.1478,0.14525,0.24423,0.45059,1.4452922456293176
1999.8,0.13573,124.37,3.7362,0.11233,0.11735,0.10899,0.076258,0.042403,0.14777,0.14524,0.24425,0.45197,1.4465564168915237
2000.0,0.13718,124.4,3.7352,0.11233,0.11734,0.10895,0.076319,0.042383,0.14779,0.14523,0.24425,0.45232,1.4468988628533965
2000.0,0.13715,124.31,3.7323,0.11233,0.11738,0.10896,0.076373,0.042417,0.14781,0.14525,0.24423,0.45237,1.4471178027046934
1998.8,0.13662,124.27,3.7278,0.11233,0.11746,0.10898,0.076442,0.042483,0.14785,0.14529,0.24419,0.45227,1.4473075924141305
1998.6,0.13645,124.08,3.7309,0.11233,0.1174,0.10898,0.076371,0.042429,0.14782,0.14526,0.24422,0.45251,1.4473308612799185
2000.0,0.13798,123.29,3.7506,0.11234,0.11704,0.1089,0.076018,0.042081,0.14762,0.1451,0.24439,0.45425,1.447733951588025
