param_type,param_name,in_l_bound,base,in_u_bound,out_l_bound,out_u_bound
input,cp_tau_s,1.064008486531724,10,3.2823274992385256,0,1
input,cp_b,-1.7388323294722243,10,1.2969940766702084,0,1
input,cp_tau_0,1.1636085634310516,10,2.684908168288118,0,1
input,cp_n,0.13637172349232327,10,1.2623324138226262,0,1
input,average_strain,-2.1303811091736473,10,-0.5432545046520555,0,1
output,average_stress,2.4254037821486105,10,3.7871060930365696,0,1
output,g59_phi_1,0.2268318106587208,10,0.28508450333521873,0,1
output,g59_Phi,0.3369797752006553,10,0.3642882756144368,0,1
output,g59_phi_2,0.6327710047017497,10,0.6512489308045952,0,1
output,g63_phi_1,0.26951294421791633,10,0.334131932327829,0,1
output,g63_Phi,0.4415537509534569,10,0.4866571313388806,0,1
output,g63_phi_2,0.5751416409293298,10,0.609583738468038,0,1
output,g86_phi_1,0.3125581495215206,10,0.3269704503249203,0,1
output,g86_Phi,0.25295006918427476,10,0.2856473089007293,0,1
output,g86_phi_2,0.5567004216897933,10,0.5728832141971627,0,1
output,g237_phi_1,0.33360846758829316,10,0.33683982531460943,0,1
output,g237_Phi,0.3373594120013548,10,0.36353677087266406,0,1
output,g237_phi_2,0.6088147541120719,10,0.6226801987325815,0,1
output,g303_phi_1,0.40179673988816383,10,0.41864925051960217,0,1
output,g303_Phi,0.30085624311839365,10,0.3244882333076564,0,1
output,g303_phi_2,0.6483209715200843,10,0.6689168106400766,0,1
