Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
490.64,0.50988,114.47,14.942,1.1376e-05,0.063313,0.086482,0.055493,0.12808,0.068208,0.17997,0.5815453701377528
485.99,0.5249,113.75,14.964,1.123e-05,0.063273,0.086487,0.0555,0.12818,0.068212,0.17991,0.5815564541861327
489.07,0.50508,114.58,14.936,1.071e-05,0.063311,0.086507,0.055504,0.12807,0.068183,0.18044,0.5820113692605946
485.36,0.52497,113.67,14.939,1.0904e-05,0.063273,0.0865,0.055502,0.12818,0.0682,0.1808,0.5824504948968181
484.39,0.53084,113.55,14.976,1.1241e-05,0.063259,0.086484,0.0555,0.1282,0.068215,0.18082,0.5824734490254645
493.65,0.51973,113.27,14.971,1.1517e-05,0.063269,0.086392,0.055493,0.12825,0.068322,0.18075,0.5824837440270705
487.82,0.52672,112.92,14.961,1.0875e-05,0.063249,0.086429,0.055502,0.12828,0.068289,0.18139,0.5831350484963159
486.0,0.50748,115.15,14.998,1.1074e-05,0.063311,0.086536,0.055504,0.12801,0.068139,0.18207,0.5835675531692098
482.64,0.52092,115.41,14.998,1.1918e-05,0.063314,0.086586,0.055495,0.12798,0.068076,0.18224,0.5836887189163685
485.99,0.52497,113.81,14.718,1.123e-05,0.063354,0.086591,0.055483,0.12807,0.068099,0.18232,0.5839154416448636
