Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
277.05,0.37544,59.193,19.951,0.050889,1.357,0.097925,0.062416,0.08973,0.076464,1.7344522975169026
273.47,0.38633,59.167,19.854,0.050858,1.3731,0.097959,0.062385,0.089811,0.076466,1.7506055521874802
269.78,0.37802,60.495,19.794,0.050859,1.3922,0.098066,0.062134,0.090202,0.076588,1.7700876953111782
269.83,0.39815,60.942,19.653,0.050899,1.3985,0.097996,0.062261,0.089956,0.076722,1.7762869689218714
275.38,0.36916,62.513,19.772,0.051002,1.401,0.097976,0.062143,0.090033,0.076918,1.7790349152812195
267.21,0.38546,64.918,19.749,0.050965,1.4023,0.098232,0.061888,0.090522,0.076704,1.7805740290108187
287.0,0.45776,57.688,19.987,0.051019,1.4149,0.0978,0.06336,0.088511,0.076444,1.7920335214283434
279.04,0.38251,58.85,19.236,0.051101,1.4246,0.097408,0.062577,0.089365,0.07787,1.8029566617409323
251.92,0.36637,72.101,19.914,0.050963,1.4473,0.098691,0.061021,0.092395,0.076156,1.8265568817549978
271.32,0.33069,59.257,19.689,0.050864,1.4498,0.097862,0.061891,0.090712,0.077097,1.828237460865836
