Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
191.9,506.57,61.692,10.739,3.2546e-05,0.12759,0.053721,0.066593,0.095622,0.23745,0.065262,0.6462377758050988
192.28,511.18,61.549,10.791,3.2089e-05,0.1276,0.053709,0.066589,0.095621,0.23949,0.065325,0.6483407985229346
189.4,595.7,62.832,10.581,3.7961e-05,0.12773,0.053672,0.066669,0.097353,0.24471,0.064441,0.6545715767721826
190.56,502.01,62.615,10.68,3.2219e-05,0.12747,0.05375,0.066613,0.095689,0.2461,0.065126,0.6547492049442298
191.22,506.56,61.31,10.688,3.3329e-05,0.12762,0.053709,0.066603,0.095696,0.24718,0.065195,0.6559948397534268
190.31,504.5,60.349,10.308,3.2309e-05,0.12758,0.053648,0.066753,0.095756,0.25259,0.065034,0.6613576116351167
196.05,498.25,62.189,11.191,3.5325e-05,0.12783,0.053843,0.066323,0.095223,0.25262,0.0656,0.6614341408188891
193.92,502.71,60.475,10.814,3.2046e-05,0.12771,0.053694,0.06657,0.095326,0.2537,0.065526,0.6625212004597137
190.89,507.32,61.15,10.713,3.3221e-05,0.12762,0.053704,0.066602,0.095707,0.25433,0.065209,0.6631768777884552
188.57,581.46,61.203,10.431,2.9963e-05,0.1275,0.053534,0.06686,0.09679,0.2537,0.064824,0.6632075577131374
