Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
264.95,48.276,71.901,10.802,0.13287,0.10828,0.60372,0.22697,0.033726,0.042837,0.11011,0.054523,0.14692,1.4599499378823448
264.95,53.944,71.736,10.8,0.13301,0.10853,0.61414,0.22665,0.034033,0.04216,0.11003,0.05431,0.14674,1.4695989122265345
264.95,51.928,71.977,10.806,0.13297,0.10844,0.61496,0.22677,0.033884,0.042421,0.11005,0.054406,0.14681,1.4707078895855692
263.11,49.222,73.103,10.532,0.13285,0.10806,0.62179,0.22686,0.033955,0.042423,0.10995,0.054474,0.14653,1.476897256717498
279.32,36.023,71.488,9.9256,0.13207,0.10695,0.63494,0.22758,0.034838,0.042635,0.1097,0.053823,0.14643,1.4889600776472138
255.82,7.0604,67.798,14.85,0.13186,0.10814,0.59258,0.23092,0.035274,0.056406,0.13323,0.057609,0.15274,1.4987545846246022
252.65,7.2339,68.897,14.777,0.13194,0.10805,0.59722,0.23094,0.035043,0.056571,0.13605,0.05776,0.15267,1.5062473368895515
263.26,50.871,70.762,10.776,0.13291,0.10842,0.65251,0.22678,0.034093,0.042348,0.10998,0.054302,0.14673,1.5080743942740793
279.7,39.761,71.874,10.592,0.13255,0.10774,0.65617,0.22753,0.033772,0.043611,0.11032,0.054413,0.14742,1.5135368632702293
251.59,11.753,67.368,14.491,0.13204,0.10832,0.62222,0.23034,0.033269,0.054432,0.12754,0.057317,0.15169,1.5171766940830773
