iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,213.62,2.2875,132.86,4.7097,5.1997e-05,0.11573197719446454,0.07526355548219228,0.13968911097378858
2,289.66,0.68346,99.173,9.7593,3.3909e-05,0.27666046925407045,0.07285185343454792,0.2998499344290996
3,770.54,0.50429,163.98,3.6285,5.3436e-05,0.11799214843723801,0.0799353018201431,0.14343634526167473
4,279.11,2.161,142.54,4.9653,7.6373e-05,0.08441042382671712,0.07483129036710412,0.10822996334645622
5,458.04,0.81701,121.26,10.728,6.5902e-05,0.04346011028225898,0.0727899682835839,0.0666298768019283
6,413.87,0.85403,125.26,11.311,7.3476e-05,0.026561644028310457,0.07277476434556326,0.04972657098419889
7,391.99,0.95159,122.01,11.07,7.4159e-05,0.03077753789758311,0.07267033535855803,0.05390922407450362
8,417.57,0.86294,121.44,14.099,7.2814e-05,0.03553872804311705,0.07286937828659813,0.05873377155180769
9,435.23,0.81769,129.16,8.9272,8.8183e-05,0.037567993361216766,0.07288624717358286,0.06076840640340356
10,528.28,0.61173,127.76,11.936,6.9516e-05,0.029750471454929765,0.07295313895276015,0.052972176811733114
