Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
564.47,514.72,41.455,235.62,195.84,142.1,60.811,12.87,0.11928,0.26833,0.12839,0.098181,0.42612,0.02417,0.027473,0.10099,0.12465,1.317589243355562
563.88,486.02,41.391,235.51,156.94,144.46,63.484,12.479,0.12028,0.26864,0.12883,0.096485,0.42984,0.023889,0.027116,0.10072,0.12286,1.3186496040222275
573.22,494.49,39.98,228.57,156.9,141.62,63.387,12.664,0.12029,0.26872,0.1288,0.09714,0.4313,0.023891,0.027056,0.10106,0.1227,1.3209500216997139
563.89,481.03,41.391,235.38,155.24,144.49,63.484,12.626,0.12033,0.26872,0.12867,0.095588,0.43442,0.023853,0.027121,0.10062,0.12259,1.3219023391101077
563.64,493.03,41.389,235.59,201.18,141.95,61.118,12.816,0.11922,0.26833,0.12836,0.099233,0.42926,0.024099,0.027427,0.10108,0.12504,1.322047661875175
573.25,482.53,41.457,242.03,156.93,143.54,63.954,12.666,0.12019,0.26827,0.12868,0.097308,0.44772,0.023824,0.027492,0.10094,0.1229,1.337324462052603
564.0,493.03,41.376,228.82,201.18,134.06,61.551,12.814,0.11933,0.26842,0.12845,0.098342,0.44943,0.024138,0.027368,0.10128,0.1248,1.3415594616948492
563.6,496.4,41.378,238.18,199.66,142.7,61.075,13.198,0.11921,0.26827,0.12796,0.097594,0.45251,0.024025,0.027668,0.10092,0.12455,1.3427116050642467
565.25,480.78,41.381,235.53,157.7,143.82,63.543,12.227,0.12029,0.26858,0.12912,0.098052,0.45217,0.023903,0.027024,0.10092,0.12333,1.3433902158486537
572.12,322.88,39.927,241.17,152.96,121.55,65.145,10.592,0.12076,0.26767,0.13117,0.1102,0.43408,0.02339,0.026469,0.10338,0.12741,1.344520150474345
