Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1984.3,0.11498,123.77,18.097,0.12942,0.25877,0.055569,0.084216,0.071139,0.062293,0.661402963150962
1990.4,0.1147,123.47,18.085,0.12948,0.25885,0.055573,0.0842,0.071164,0.062302,0.6615643727359509
1983.1,0.11509,124.01,18.248,0.12949,0.25884,0.055598,0.084206,0.071155,0.062291,0.6615754611612558
1983.8,0.11484,123.85,18.198,0.12946,0.25932,0.055586,0.084213,0.071147,0.062293,0.6620177191708803
1984.2,0.11579,123.48,18.117,0.12956,0.25951,0.055575,0.084151,0.07122,0.062299,0.662308620471296
1992.4,0.11507,123.72,17.953,0.1294,0.25997,0.055555,0.08422,0.071132,0.062297,0.6625772544164686
1983.5,0.11608,123.17,18.208,0.1297,0.25961,0.05559,0.084099,0.07129,0.062302,0.6625923766323698
1984.2,0.11494,124.28,18.15,0.12937,0.2602,0.055582,0.084248,0.071098,0.062285,0.6627876549472277
1984.9,0.11479,124.36,18.149,0.12935,0.26036,0.055583,0.084262,0.071082,0.062284,0.6629204702534719
1987.4,0.11587,123.42,18.138,0.12962,0.26012,0.055584,0.084134,0.071244,0.0623,0.6630032803142759
