Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3120.4,6.7107,408.18,6.5533,0.12927,0.071801,0.11869,0.15904,0.51596,0.13459,0.63618,0.11081,0.060441,1.9367837566434498
3094.9,6.5244,407.82,6.5135,0.13031,0.071558,0.11862,0.15936,0.52846,0.13376,0.67302,0.11024,0.061009,1.9863372146249476
3050.2,6.232,406.77,6.3748,0.13603,0.070284,0.11847,0.16121,0.68336,0.13049,0.53476,0.10989,0.063175,2.0076605708392474
3119.5,6.5765,409.23,6.4392,0.13254,0.071323,0.11865,0.1602,0.7438,0.13211,0.4992,0.10943,0.062042,2.0292951159560935
3153.8,6.9092,409.16,6.5895,0.12831,0.072043,0.11874,0.1588,0.53246,0.13522,0.72528,0.11154,0.060012,2.042397703543921
3095.6,6.6089,409.94,6.4578,0.13238,0.071246,0.11868,0.16005,0.77004,0.13224,0.49421,0.1094,0.061988,2.0502400667738088
3121.1,6.8225,406.31,6.5592,0.12863,0.072021,0.11867,0.15897,0.48515,0.13519,0.79595,0.11142,0.060115,2.0661126675502737
3178.5,6.6109,408.14,6.4694,0.13073,0.071869,0.11863,0.15977,0.59014,0.1332,0.69443,0.10993,0.061252,2.06994526443747
3140.5,6.7917,412.64,6.5701,0.12953,0.071669,0.11881,0.15902,0.71831,0.13405,0.56895,0.11021,0.060683,2.071239379623431
3084.5,6.5578,402.14,6.4676,0.13014,0.071903,0.11846,0.15964,0.50993,0.13418,0.77741,0.11045,0.06087,2.0729860027244547
