Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
248.77,74.896,697.56,824.57,340.31,433.68,406.51,3.0075,0.14652,0.3957,0.051742,0.15666,0.21681,0.13799,0.094039,0.039207,0.045686,1.2843578952629258
248.5,74.948,697.56,824.6,340.07,432.9,406.57,2.9946,0.14657,0.39635,0.051764,0.1567,0.21683,0.1382,0.094022,0.039183,0.045666,1.2852810236102241
248.14,74.728,697.42,824.6,340.28,432.69,406.6,3.0078,0.14653,0.40031,0.051733,0.15671,0.21682,0.13753,0.094023,0.039247,0.045679,1.2885766611712437
253.86,75.622,698.8,824.1,340.3,432.39,406.51,3.016,0.14634,0.40305,0.051694,0.15601,0.2168,0.13707,0.094149,0.039219,0.046027,1.290375375651616
248.76,74.84,700.24,810.35,340.3,437.39,403.67,3.0087,0.14671,0.39589,0.05184,0.15689,0.21686,0.14405,0.094109,0.038911,0.045335,1.2905864508633305
248.4,74.535,698.79,824.18,349.21,428.64,406.32,3.0162,0.14625,0.40958,0.051628,0.15632,0.2168,0.13486,0.094112,0.039421,0.045905,1.2948868385896402
253.3,75.4,663.75,824.82,331.45,433.71,407.71,3.003,0.14699,0.40716,0.051912,0.15708,0.21688,0.14183,0.093834,0.03897,0.045535,1.300199217678862
246.52,74.182,698.26,845.9,340.4,433.34,406.94,3.0061,0.14663,0.41469,0.051694,0.1573,0.2168,0.13473,0.093847,0.039461,0.045533,1.3006866748470591
241.79,74.508,669.33,823.88,340.22,421.72,408.68,3.035,0.14672,0.41791,0.051828,0.15685,0.2169,0.13596,0.09387,0.03921,0.045738,1.304991967710126
248.98,74.826,698.84,830.78,336.46,424.35,406.51,3.0165,0.14657,0.42139,0.05172,0.1565,0.21688,0.13501,0.093958,0.03939,0.045894,1.3073088523303118
