Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
231.25,196.36,63.969,8.433,0.029031,0.08811,0.023235,0.40156,0.26324,0.11542,0.15664,0.12593,0.12237,1.325543783357701
232.22,192.61,63.674,8.3478,0.029144,0.088259,0.023533,0.3944,0.26305,0.11532,0.19522,0.12602,0.12243,1.3573708416801678
233.75,193.29,63.671,8.3144,0.029123,0.088319,0.023658,0.39127,0.26297,0.11529,0.20412,0.12602,0.12241,1.3631919103752537
230.6,192.61,63.928,8.3476,0.029128,0.08822,0.023457,0.39041,0.26308,0.11536,0.20869,0.12603,0.12246,1.3668379436902556
230.65,196.84,64.005,8.3663,0.029031,0.088244,0.023385,0.38739,0.26313,0.11541,0.2132,0.12607,0.12246,1.3683157140143671
232.51,192.22,63.87,8.3264,0.02913,0.08824,0.023569,0.39097,0.26302,0.11532,0.2117,0.12599,0.12242,1.3703600076905373
233.37,197.04,63.972,8.3651,0.029012,0.088227,0.023459,0.40224,0.26309,0.11537,0.21106,0.12597,0.12237,1.3807956260155934
230.82,196.77,63.939,8.3478,0.029041,0.088292,0.023447,0.38455,0.26309,0.11539,0.23272,0.12611,0.12248,1.3851206046830982
231.31,191.47,64.066,8.3672,0.029129,0.088117,0.023408,0.39491,0.26311,0.11536,0.22653,0.12592,0.1224,1.3888769965185739
230.86,197.05,63.939,8.3482,0.029035,0.088296,0.023446,0.38444,0.26309,0.11539,0.23727,0.12611,0.12248,1.3895652889129309
