Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1982.8,0.12285,125.83,7.8651,0.063866,0.09111,0.12814,0.067202,0.18487,0.054769,0.589952903514558
1996.7,0.12183,125.83,7.8887,0.063893,0.091097,0.12815,0.067178,0.18499,0.054788,0.5900958560973395
1979.3,0.12283,125.91,7.8788,0.063879,0.09109,0.12811,0.067199,0.18524,0.05477,0.5902880955913474
1999.8,0.12214,125.84,7.8917,0.063916,0.091079,0.12818,0.067165,0.18593,0.05479,0.5910629550110014
1982.8,0.12278,125.95,7.9588,0.06402,0.090947,0.12809,0.067139,0.18728,0.054789,0.5922644723329541
1988.8,0.1217,125.85,7.9056,0.063902,0.091075,0.1281,0.067183,0.18728,0.054786,0.5923272114181092
1997.7,0.12236,124.4,7.9056,0.06399,0.090997,0.12823,0.067162,0.18947,0.05478,0.5946296803877641
1983.6,0.12352,124.3,7.843,0.063905,0.091073,0.12824,0.067211,0.18948,0.054751,0.5946532436507496
1998.9,0.12205,124.49,7.9417,0.064039,0.090945,0.1282,0.06714,0.19039,0.05479,0.5955011767423337
1984.8,0.1226,126.34,7.976,0.064033,0.090935,0.12807,0.067125,0.19091,0.054797,0.5958691600458502
