Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1701.0,0.17337,132.06,2.3468,0.33724,0.10984,0.080584,0.15543,0.15231,0.23279,0.10887,0.17,0.11457,1.4616428252569513
1701.0,0.18615,130.05,2.2542,0.31921,0.11141,0.08568,0.15718,0.15575,0.23198,0.11514,0.17202,0.11572,1.4640871404087064
1682.3,0.18481,131.45,2.259,0.3216,0.11134,0.08538,0.15709,0.15553,0.23202,0.11419,0.1719,0.11562,1.4646758015030827
1648.9,0.18246,130.58,2.3247,0.3409,0.11029,0.081928,0.15597,0.15322,0.23262,0.11096,0.17057,0.11495,1.4713980777112292
1649.1,0.18249,130.36,2.3259,0.34204,0.11027,0.081868,0.15595,0.15318,0.23264,0.11093,0.17055,0.11494,1.4723588731414838
1648.9,0.1873,129.47,2.3003,0.33688,0.11069,0.083289,0.15644,0.15416,0.23241,0.11292,0.1711,0.11528,1.4731730524838507
1659.2,0.18344,130.0,2.3274,0.34375,0.11023,0.081786,0.15591,0.15314,0.23265,0.11123,0.17051,0.11493,1.4741313329168926
1640.6,0.18235,131.55,2.3229,0.34426,0.11033,0.082024,0.15601,0.15327,0.23259,0.11083,0.1706,0.11494,1.4748460611886687
1640.5,0.18234,131.55,2.3231,0.34435,0.11032,0.082011,0.156,0.15326,0.2326,0.11081,0.17059,0.11494,1.4748968715703634
1646.2,0.1844,130.07,2.3248,0.34487,0.11029,0.081949,0.15599,0.15325,0.23263,0.1113,0.17058,0.11497,1.475820178296925
