Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
764.3,0.28397,143.96,3.9847,0.057414,0.13615,0.054506,0.11522,0.34504,0.07181,0.7801352628567795
767.77,0.26519,152.75,3.9756,0.057445,0.13604,0.054554,0.11547,0.37921,0.071971,0.8146851237109128
767.32,0.26501,154.29,3.9323,0.057571,0.1363,0.054555,0.11596,0.37947,0.072074,0.8159268652406857
768.59,0.26453,154.38,3.9356,0.057566,0.13629,0.054558,0.11593,0.38025,0.072066,0.8166507456160041
771.52,0.25535,155.17,3.7552,0.058155,0.13756,0.054652,0.11807,0.3838,0.072481,0.824720747603525
774.83,0.26489,154.28,3.9322,0.057606,0.13634,0.054569,0.116,0.3888,0.072054,0.8253781892598767
770.85,0.25556,156.96,3.8435,0.057848,0.13688,0.054601,0.11703,0.38951,0.072306,0.8281796234979969
756.48,0.27045,149.74,3.8482,0.057783,0.13692,0.05453,0.11681,0.39502,0.072215,0.833276268387122
766.65,0.2659,155.74,3.7793,0.058068,0.13737,0.054614,0.11771,0.39385,0.072395,0.8340069161061135
800.72,0.24195,157.96,3.974,0.057593,0.13612,0.054649,0.11584,0.40327,0.072026,0.839491977521171
