Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1935.7,0.13145,125.89,3.6663,0.1128,0.1178,0.10547,0.077019,0.042888,0.14829,0.14554,0.24441,0.84411,1.8383249041209027
1908.4,0.13162,125.81,3.7145,0.11288,0.11691,0.10589,0.076015,0.042099,0.14791,0.14516,0.24477,0.84907,1.8407000708613697
1931.6,0.13145,126.73,3.6816,0.1128,0.11759,0.10564,0.076744,0.042735,0.14817,0.14544,0.24449,0.84753,1.841132746142276
1956.1,0.13059,123.78,3.6648,0.11278,0.11774,0.10545,0.076956,0.042806,0.14824,0.14551,0.24441,0.85047,1.844366141042338
1907.4,0.1366,123.16,3.7732,0.11285,0.11588,0.10631,0.075023,0.041141,0.14742,0.14472,0.24515,0.85882,1.8473201440970541
1935.7,0.12737,125.84,3.5849,0.11285,0.11915,0.10503,0.078416,0.0441,0.14901,0.14613,0.24393,0.8498,1.848426387765883
1909.6,0.13629,123.14,3.7226,0.11286,0.11666,0.10591,0.075951,0.041785,0.14785,0.14507,0.24485,0.8577,1.8486321150184792
1908.2,0.13745,123.08,3.7642,0.11285,0.11602,0.10625,0.075226,0.041255,0.1475,0.14479,0.24509,0.86086,1.8498420710889487
1900.2,0.13727,123.69,3.7814,0.11286,0.11576,0.10637,0.074904,0.041053,0.14738,0.14468,0.2452,0.86173,1.8499348069355532
1914.1,0.13595,122.6,3.7652,0.11285,0.11599,0.10625,0.075137,0.041222,0.14746,0.14477,0.2451,0.86137,1.8501549156299328
