Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1996.9,0.12327,123.78,8.4533,0.064774,0.090266,0.12842,0.066593,0.14825,0.055259,0.5535590738843817
1996.6,0.12299,123.93,8.4185,0.064658,0.090377,0.12836,0.066631,0.14834,0.055257,0.5536214454943176
1996.9,0.12327,123.78,8.3906,0.064598,0.090442,0.12834,0.066652,0.14842,0.055252,0.5537014574418202
1997.7,0.1233,123.92,8.4746,0.064824,0.090216,0.12844,0.06657,0.1484,0.055266,0.553716702643711
1996.9,0.12355,123.54,8.4821,0.064878,0.090168,0.12848,0.066564,0.14891,0.055258,0.5542521363406208
1996.8,0.12357,123.58,8.485,0.064886,0.09016,0.12848,0.066561,0.14894,0.055259,0.5542855542068988
1995.6,0.12311,123.78,8.3485,0.064477,0.090561,0.12828,0.066698,0.14949,0.055244,0.5547439904978151
2000.0,0.12358,123.56,8.5066,0.064933,0.09012,0.12851,0.066532,0.14949,0.055265,0.5548445114170453
1999.9,0.1236,123.56,8.5066,0.064934,0.090119,0.12851,0.066532,0.14961,0.055265,0.554964810640545
1996.8,0.12206,124.71,8.3757,0.064452,0.090565,0.12821,0.066682,0.15003,0.055265,0.5552078752999815
