Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1633.9,0.16316,124.2,4.4685,0.10927,0.061807,0.10708,0.24317,0.14016,0.035264,0.24952,0.11309,0.14064,1.2000010357915538
1629.1,0.16273,124.84,4.502,0.10918,0.061124,0.10674,0.24485,0.13999,0.035066,0.24974,0.11314,0.14035,1.200179073296511
1628.9,0.16264,124.72,4.4134,0.10908,0.062871,0.10777,0.2438,0.14053,0.035693,0.24911,0.11302,0.1411,1.2029816582382293
1625.7,0.16262,124.84,4.5957,0.10915,0.059278,0.10568,0.26183,0.13943,0.034416,0.25039,0.11327,0.13955,1.2129930603542152
1624.8,0.16255,124.98,4.5968,0.10914,0.05925,0.10568,0.26208,0.13943,0.034418,0.25039,0.11328,0.13954,1.2132046803144858
1639.6,0.16089,124.46,4.4632,0.10933,0.061865,0.10718,0.25913,0.14025,0.035339,0.24946,0.11308,0.14066,1.216298141898096
1633.0,0.16414,123.63,4.3679,0.10929,0.063821,0.10821,0.25762,0.14074,0.035945,0.24882,0.11297,0.1415,1.218922036593729
1617.3,0.16414,126.26,4.4441,0.10864,0.062261,0.10748,0.26973,0.14034,0.035537,0.2493,0.11308,0.14087,1.2272399319046186
1625.0,0.16229,125.36,4.6487,0.10914,0.058231,0.10514,0.28289,0.13911,0.034083,0.25074,0.11336,0.13909,1.2317872858563883
1624.7,0.16258,125.01,4.6591,0.10915,0.058039,0.105,0.28355,0.13903,0.033988,0.25082,0.11337,0.13901,1.2319606895991098
