Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.0010129,1.4758e-07,783.58,507.9,174.85,786.91,79.712,3.2927,0.22826,0.13624,0.044844,0.11878,0.11366,0.093452,0.05293,0.22557,0.076407,1.090152351073175
0.020295,1.4601e-07,765.08,507.9,175.0,785.4,81.524,3.2998,0.2496,0.13612,0.044415,0.11865,0.11353,0.093359,0.052876,0.2256,0.076684,1.1108382112253012
0.020332,1.4522e-07,764.42,508.15,176.74,795.66,81.553,3.3011,0.25164,0.13601,0.044477,0.11871,0.11362,0.093262,0.052866,0.22553,0.076884,1.1129942531511245
0.020283,1.4506e-07,773.42,507.92,175.09,776.47,81.524,3.2579,0.25306,0.13621,0.044064,0.11839,0.1135,0.093429,0.053877,0.22593,0.077078,1.1155354416566283
0.0010129,1.0378e-07,783.58,507.9,174.85,786.91,79.712,3.2927,0.25421,0.13634,0.044854,0.11878,0.1136,0.093374,0.052826,0.22558,0.076255,1.1158204941498864
0.020368,1.4557e-07,765.03,503.18,175.05,786.05,81.526,3.2562,0.25465,0.13607,0.044198,0.11848,0.1136,0.093313,0.053815,0.22581,0.077364,1.1173015921624787
0.020329,1.6044e-07,763.19,509.51,176.24,795.67,81.438,3.3029,0.25994,0.13599,0.044476,0.11871,0.11365,0.093278,0.052866,0.22551,0.076936,1.1213638012804457
0.020664,1.8188e-07,752.12,494.71,178.4,771.85,81.115,3.2895,0.26029,0.13606,0.044459,0.11869,0.11348,0.093771,0.052857,0.22546,0.0767,1.121774258630893
0.019949,1.7693e-07,772.24,499.55,176.52,769.57,82.038,3.1848,0.25896,0.13615,0.043673,0.1181,0.11361,0.093545,0.055574,0.22625,0.078148,1.124005443414931
0.020294,1.4876e-07,765.05,494.7,175.2,785.46,81.343,3.3,0.26285,0.13616,0.044574,0.11874,0.11345,0.093437,0.052688,0.22566,0.076459,1.1240157436518743
