Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1992.6,0.17597,148.42,5.2289,0.12698,0.099634,0.065277,0.037014,0.11135,0.2435,0.13423,0.21874,0.047416,1.0841382402421156
1992.6,0.17614,148.44,5.221,0.12694,0.099631,0.065347,0.03705,0.11136,0.2441,0.13424,0.21874,0.047426,1.0848358449140396
1992.6,0.17597,148.78,5.2333,0.12698,0.099641,0.065249,0.036996,0.11135,0.2447,0.13423,0.21873,0.047427,1.0853136861397206
1992.4,0.17605,148.1,5.2949,0.12728,0.099653,0.064729,0.036746,0.11124,0.24673,0.13421,0.2187,0.047313,1.0865990284866467
1983.8,0.17597,148.59,5.2334,0.127,0.099635,0.06522,0.036982,0.11135,0.24605,0.13422,0.21874,0.047423,1.0866150183734289
1975.8,0.1776,148.61,5.2441,0.12705,0.099637,0.06515,0.036945,0.11133,0.24647,0.13422,0.21873,0.047399,1.0869397398641116
1994.0,0.17639,148.94,5.1299,0.12656,0.099596,0.066081,0.037475,0.1115,0.24556,0.13427,0.21879,0.047504,1.087339897540168
1972.1,0.17746,149.2,5.2037,0.12685,0.099627,0.065484,0.037106,0.11141,0.24651,0.13423,0.21875,0.047481,1.087448445329638
1990.1,0.17682,148.64,5.1095,0.1265,0.099578,0.066224,0.037573,0.11152,0.24583,0.13427,0.21881,0.04749,1.0877915431322602
1989.7,0.17701,148.9,5.1089,0.12649,0.099581,0.066234,0.03758,0.11153,0.24585,0.13427,0.21881,0.047497,1.0878382174542343
