block_id,cauchy_stress_xx,elastic_strain_xx,id,mechanical_strain_xx,orientation_q1,orientation_q2,orientation_q3,orientation_q4,strain_xx,volume,x,y,z
1,26.086829791135,0.00015398768088084,0,0.00015400609042911,0.58116006720155,-0.19317844503367,0.77095284287663,-0.17483357435684,0.00015400609042911,25901.341062008,7.5198322534561,348.40279006958,50.057807922363
1,25.687498474768,0.00015274232043217,1,0.00015276062038295,0.58115989759719,-0.19317883335545,0.77095280186203,-0.17483388992464,0.00015276062038295,25579.680171778,7.5509662628174,365.73375701904,49.965023994446
1,25.109344733505,0.00015212763695948,2,0.00015214674171434,0.58115794239741,-0.19317944699825,0.77095404267573,-0.17483423957463,0.00015214674171434,24432.633522855,7.3262104988098,348.99306869507,150.04556655884
1,25.0754614658,0.00015237778300589,3,0.00015239701170935,0.58115779448215,-0.193179851539,0.77095393284117,-0.17483476859208,0.00015239701170935,23681.025992057,7.2767804861069,365.68414306641,149.83968257904
1,24.584343899939,0.00014882099704977,4,0.00014883894331768,0.58115824301745,-0.19317984108966,0.77095343376092,-0.17483548993731,0.00014883894331768,26016.541959728,7.5211095809937,348.55530548096,249.98775863647
1,24.67566771578,0.0001506462158791,5,0.00015066481991682,0.58115790165252,-0.1931804511598,0.77095335000866,-0.17483631987323,0.00015066481991682,25803.449887257,7.4629386663437,366.09424972534,249.87465858459
1,25.926511701092,0.00015479014561509,6,0.00015480894834338,0.58116150043471,-0.19318003949771,0.77095164979367,-0.17483230946031,0.00015480894834338,45207.475175726,25.287729382515,347.23503494263,49.944458961487
1,25.355784679189,0.00015265582934426,7,0.00015267432368645,0.58115992841478,-0.19318015609936,0.7709525586587,-0.17483339838719,0.00015267432368645,49120.380911777,24.999482393265,346.94626617432,150.01254367828
1,26.560057365921,0.00015532990627626,8,0.00015534847325364,0.5811430225362,-0.19313735137182,0.77101750810878,-0.17465037374816,0.00015534847325364,36075.159458256,9.2042773962021,331.54090499878,49.984210968018
1,25.430047027483,0.00015234359615158,9,0.00015236239526205,0.58114137781893,-0.19313787433539,0.77101861045919,-0.17465040168517,0.00015236239526205,37634.726984609,8.9767124652863,331.57939910889,150.07960128784
