Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356841096
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356843544
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356844764
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356848234
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356852114
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356852602
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356852742
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356852921
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356852928
326.67,3.3755,112.31,2.9533,0.10758,0.10758359356855862
