Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
324.64,795.01,86.187,2.5153,0.10516,0.14097,0.043426,0.11764,0.2229,0.11726,0.092699,0.4013,0.095499,1.336856485160402
323.38,774.21,86.179,2.515,0.1049,0.14094,0.043425,0.11755,0.2229,0.11724,0.092326,0.40325,0.095497,1.338024958592663
325.96,789.61,85.786,2.5141,0.10509,0.14096,0.043416,0.11763,0.22293,0.11726,0.092581,0.40378,0.095498,1.3391485181061626
321.9,802.17,87.306,2.5161,0.10529,0.14101,0.043444,0.11767,0.22286,0.11725,0.092936,0.40478,0.095504,1.3407394123614726
325.99,798.92,86.25,2.5086,0.10535,0.14101,0.043414,0.11772,0.22295,0.11724,0.092947,0.40481,0.095519,1.340970784834236
326.31,788.77,86.252,2.4961,0.10549,0.14106,0.043398,0.11777,0.22303,0.11721,0.093118,0.4052,0.095552,1.3418292306649964
326.77,798.32,86.036,2.5122,0.10525,0.14099,0.043412,0.1177,0.22294,0.11725,0.092802,0.40745,0.095506,1.3432888755450312
325.99,798.92,86.246,2.5187,0.10512,0.14096,0.043422,0.11765,0.22289,0.11726,0.092646,0.40787,0.095487,1.343307587989425
319.04,782.65,85.962,2.5423,0.10448,0.14082,0.043464,0.11735,0.22271,0.11731,0.0918,0.41051,0.095429,1.3438739268933784
324.71,809.34,86.82,2.5185,0.10529,0.14099,0.043431,0.1177,0.22287,0.11726,0.092916,0.40846,0.095494,1.3444176422990266
