Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
328.4,38.271,74.839,10.418,0.13171,0.11055,0.33692,0.22283,0.039389,0.034702,0.10839,0.050913,0.14061,1.176019633050081
328.47,38.526,74.902,10.236,0.13172,0.11054,0.33886,0.22265,0.039784,0.034517,0.10818,0.05085,0.14028,1.1773739759878645
329.94,39.242,74.633,10.219,0.13172,0.11053,0.3402,0.22261,0.039898,0.034494,0.1082,0.050795,0.1403,1.1787351261978938
330.03,39.699,74.798,10.359,0.13173,0.11053,0.34128,0.22274,0.03958,0.034599,0.10834,0.050851,0.14057,1.180214645446577
328.8,40.89,74.869,10.219,0.13175,0.11051,0.34238,0.22258,0.039888,0.034378,0.10815,0.050795,0.14032,1.1807580875197958
329.04,40.886,74.87,10.215,0.13175,0.11051,0.34262,0.22258,0.039901,0.03438,0.10815,0.050792,0.14032,1.1810003991433438
328.86,40.249,74.76,10.188,0.13174,0.11051,0.34273,0.22256,0.039959,0.034387,0.10813,0.050784,0.14024,1.1810480474131637
328.19,41.114,75.045,10.342,0.13176,0.11051,0.34259,0.2227,0.039588,0.034465,0.10827,0.050856,0.14054,1.1812795241370455
328.35,39.587,74.772,10.217,0.13173,0.11052,0.34314,0.22261,0.039867,0.034439,0.10816,0.050812,0.14027,1.1815480603691773
329.47,40.936,74.944,10.225,0.13176,0.11051,0.34504,0.22258,0.039878,0.034394,0.10816,0.050799,0.14034,1.1834617388049926
