Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
511.01,4.75,244.7,1.2301,0.095677,0.09567690491433051
511.01,4.75,244.7,1.2301,0.095677,0.09567690491433259
511.01,4.75,244.7,1.2301,0.095677,0.09567690491433825
511.01,4.75,244.7,1.2301,0.095677,0.09567690491433851
511.01,4.75,244.7,1.2301,0.095677,0.09567690491433892
511.01,4.75,244.7,1.2301,0.095677,0.09567690491433917
511.01,4.75,244.7,1.2301,0.095677,0.09567690491434029
511.01,4.75,244.7,1.2301,0.095677,0.0956769049143408
511.01,4.75,244.7,1.2301,0.095677,0.0956769049143414
511.01,4.75,244.7,1.2301,0.095677,0.09567690491434204
