Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g59),Error (g237),Error (curve),Error (g63),Error (g86),Reduced Error
685.19,0.39087,118.5,19.241,0.070333,0.062097,0.084592,0.17704,0.12964,0.055731,0.579437992161846
682.4,0.39147,118.31,19.475,0.070396,0.06214,0.084546,0.17838,0.12978,0.055715,0.5809527160275862
681.37,0.39136,118.52,19.477,0.070367,0.062141,0.084567,0.17845,0.12975,0.055716,0.5809850349833865
680.02,0.39373,118.66,19.469,0.070334,0.062123,0.084585,0.17969,0.12972,0.055722,0.5821781518399328
685.19,0.39087,118.5,19.392,0.070387,0.062128,0.084548,0.18066,0.12975,0.055722,0.5831922503396326
684.02,0.38916,118.6,19.536,0.070408,0.062144,0.084538,0.18117,0.12978,0.055706,0.5837525098232161
684.7,0.38834,118.74,18.926,0.070189,0.062044,0.084712,0.18292,0.12938,0.055749,0.5849925970061173
710.38,0.373,117.2,19.278,0.070624,0.062219,0.084404,0.18282,0.13,0.055684,0.5857514841433614
693.87,0.37902,118.28,19.471,0.070533,0.062203,0.084469,0.18398,0.12988,0.055691,0.586753565363168
679.12,0.39357,118.98,19.54,0.070313,0.062119,0.084597,0.1847,0.12971,0.055717,0.5871521058050849
