Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
582.43,0.46578,135.58,4.9426,0.054917,0.13195,0.056198,0.10341,0.31185,0.069646,0.7279820034506036
583.64,0.47144,135.16,4.9824,0.054888,0.13189,0.056297,0.10313,0.31304,0.069566,0.7288135088300646
583.57,0.47144,135.25,4.9106,0.054947,0.13208,0.056119,0.10364,0.31414,0.069659,0.7305799982005754
582.45,0.461,137.34,4.9415,0.054931,0.13189,0.056182,0.10346,0.3149,0.069685,0.7310434207606991
584.76,0.47144,134.96,5.0052,0.05487,0.13185,0.056355,0.10297,0.3155,0.06953,0.7310665331321679
587.59,0.47256,133.35,4.8886,0.054952,0.13223,0.056081,0.10376,0.31838,0.069646,0.7350416127873324
586.62,0.47259,132.79,4.9673,0.05488,0.13203,0.056282,0.10318,0.3192,0.069541,0.7351089707248092
577.16,0.46791,137.19,4.8765,0.054988,0.13207,0.056016,0.10394,0.32051,0.069763,0.7372850406256316
586.55,0.4786,132.63,4.9301,0.054912,0.13215,0.056188,0.10344,0.32179,0.069568,0.738048780168586
586.4,0.47867,132.76,4.9297,0.054913,0.13215,0.056186,0.10344,0.32187,0.069571,0.7381319163209487
