Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g59),Error (g237),Error (curve),Error (g63),Error (g86),Reduced Error
684.38,0.39463,117.42,19.956,0.069437,0.0619,0.085082,0.16426,0.12998,0.055614,0.5662694005489533
679.86,0.39793,118.39,19.956,0.069347,0.061894,0.085131,0.1649,0.12988,0.055613,0.5667635723710374
669.96,0.41254,116.7,19.986,0.069605,0.061836,0.084961,0.16518,0.13016,0.055627,0.5673679439122026
689.76,0.39181,117.38,19.956,0.069437,0.061896,0.085081,0.16727,0.13001,0.05562,0.5693093937811942
693.15,0.37948,119.41,19.96,0.069162,0.061938,0.085283,0.16966,0.12978,0.055631,0.5714593810237799
680.89,0.39544,118.77,19.918,0.069265,0.061934,0.085168,0.16991,0.12968,0.05558,0.5715363825545277
680.86,0.3955,117.38,19.986,0.069461,0.061883,0.085088,0.17616,0.13008,0.055636,0.5783094148853091
678.41,0.38968,119.61,19.958,0.069169,0.061936,0.085272,0.1804,0.1297,0.055613,0.5820955674630911
692.49,0.39165,118.26,19.987,0.069382,0.061855,0.085122,0.18025,0.13008,0.055656,0.5823407743695141
660.91,0.41004,117.86,19.963,0.069404,0.0619,0.085098,0.18104,0.12983,0.055596,0.5828710902352844
