Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.019868,5.322e-07,849.81,475.02,182.59,796.61,79.264,3.1818,0.2915,0.13641,0.043688,0.11813,0.11367,0.093344,0.056536,0.22701,0.078411,1.158702029492298
0.022717,5.3521e-07,816.99,470.49,182.63,812.05,79.277,3.1716,0.31524,0.13627,0.044057,0.11826,0.11373,0.093397,0.056199,0.22689,0.078435,1.1824715427222094
0.022703,1.0007e-06,816.76,471.48,182.61,819.34,79.621,3.2539,0.32272,0.13632,0.044437,0.1184,0.11377,0.093198,0.054892,0.22673,0.077526,1.187994141360555
0.022718,9.7732e-07,816.46,469.94,182.64,819.35,79.59,3.2534,0.32354,0.13632,0.044464,0.11841,0.11375,0.093202,0.054859,0.22673,0.077496,1.1887787402311814
0.022718,4.5499e-07,817.05,471.43,182.62,819.31,79.631,3.172,0.32231,0.13622,0.044108,0.11825,0.11383,0.093447,0.056176,0.22687,0.078505,1.1897121799474142
0.023266,1.8948e-06,815.92,471.35,187.5,822.65,80.199,3.322,0.32816,0.13627,0.044673,0.11844,0.11388,0.092965,0.053983,0.22646,0.076858,1.1916844910961615
0.023243,1.9638e-06,816.34,473.87,187.52,812.7,80.203,3.3259,0.32857,0.13638,0.044593,0.11847,0.11371,0.092973,0.05393,0.22644,0.07667,1.191725499020268
0.02314,1.9986e-06,817.61,466.56,183.41,809.57,80.255,3.3412,0.33089,0.13656,0.044786,0.11861,0.11346,0.092984,0.053435,0.22652,0.076178,1.1934257644983544
0.023114,4.4635e-07,812.52,477.71,180.35,810.96,79.548,3.1953,0.32759,0.13641,0.044177,0.11841,0.11354,0.093433,0.055627,0.22682,0.077978,1.1939815725461762
0.023112,5.0596e-07,817.42,470.86,185.51,819.11,80.12,3.1675,0.3269,0.13613,0.044014,0.11813,0.11394,0.093419,0.05644,0.22682,0.078681,1.1944692889035304
