Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
532.45,69.167,495.76,558.79,349.67,3.1184,74.077,5.0917,0.22067,0.12398,0.047529,0.35169,0.047745,0.1009,0.064508,0.11248,0.14082,1.2103173024020235
500.89,65.503,530.41,567.61,349.72,3.0493,72.946,5.0983,0.22122,0.1239,0.046295,0.38601,0.04729,0.10045,0.062502,0.11256,0.14065,1.2408841711301701
533.44,69.047,458.35,556.86,353.44,4.1512,73.948,4.7683,0.22022,0.12339,0.05008,0.39492,0.048404,0.10068,0.068934,0.11273,0.14091,1.2602654959910744
492.78,74.748,458.4,551.93,352.29,3.3777,74.073,4.3522,0.22041,0.12267,0.051836,0.39629,0.048387,0.10019,0.070849,0.11287,0.14088,1.2643774511882764
525.96,69.058,465.35,558.11,353.44,4.3799,73.833,4.7661,0.22035,0.12333,0.049753,0.40158,0.04829,0.10036,0.068447,0.11274,0.14083,1.265674132837784
525.68,69.058,465.08,577.19,344.4,4.3799,73.79,4.8325,0.2203,0.12354,0.049263,0.40512,0.048279,0.10041,0.068058,0.11252,0.14081,1.2683095919190066
525.76,69.058,470.81,581.49,353.48,4.3583,73.758,4.876,0.22033,0.12357,0.049128,0.41245,0.048174,0.10046,0.067727,0.11263,0.14083,1.275303507418
517.18,68.135,443.45,557.92,354.97,4.3874,73.571,4.7517,0.22014,0.12338,0.049965,0.41227,0.048555,0.10048,0.069413,0.11275,0.14088,1.2778334626319077
525.47,64.841,469.57,579.12,353.11,4.4926,73.836,4.8332,0.22028,0.12338,0.049528,0.41601,0.048282,0.10038,0.068247,0.11279,0.14086,1.2797484102949914
537.73,69.108,453.07,556.21,354.43,4.5505,73.994,4.6861,0.22011,0.12325,0.050839,0.41397,0.04854,0.10056,0.070068,0.11284,0.14093,1.281099295587712
