Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
106.56,748.76,14.382,975.99,665.12,918.59,99.596,1.1079,0.12765,0.65106,0.043685,0.14369,0.21453,0.10128,0.10403,0.055784,0.05622,1.4979335735994161
15.117,744.66,0.75536,741.45,664.87,925.49,38.725,2.3184,0.13152,0.6103,0.05319,0.17264,0.22348,0.14929,0.098387,0.044005,0.043935,1.5267538901745574
13.809,742.74,0.57964,550.01,672.26,904.62,38.645,3.11,0.13497,0.76236,0.055264,0.1812,0.22395,0.12172,0.09639,0.038154,0.044769,1.6587759623472162
14.03,722.66,0.5801,678.52,685.4,819.55,39.958,2.6285,0.13518,0.79388,0.0548,0.17997,0.22311,0.11242,0.096109,0.039843,0.043156,1.678467844569221
13.67,744.86,0.58498,554.12,660.54,908.0,39.903,3.1729,0.13499,0.79987,0.055262,0.18069,0.22383,0.11447,0.096419,0.037963,0.044075,1.6875720459813104
14.016,721.93,0.57256,678.94,668.08,819.98,39.322,2.6213,0.13519,0.81781,0.054752,0.18019,0.22313,0.11133,0.096076,0.039971,0.043405,1.7018445859171616
13.754,739.54,0.57665,682.04,679.86,832.16,39.673,2.5373,0.13435,0.82905,0.054642,0.17877,0.22323,0.1137,0.096524,0.040648,0.043457,1.7143681705434228
14.216,722.53,0.58231,672.63,669.36,792.85,39.145,2.585,0.13538,0.81974,0.054956,0.18061,0.22313,0.12154,0.09598,0.039686,0.043363,1.7143880920454677
15.123,744.67,0.94002,728.37,665.16,713.48,39.603,1.958,0.13353,0.78003,0.05525,0.17769,0.22387,0.17168,0.096907,0.041186,0.044095,1.7242444346955075
13.544,726.73,0.57671,677.91,667.77,796.54,39.832,2.6167,0.13535,0.83957,0.055017,0.18046,0.22311,0.11288,0.096011,0.039672,0.043201,1.725260908677891
