Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
567.37,395.94,42.06,227.36,156.31,143.4,62.048,11.377,0.12001,0.27029,0.13116,0.11194,0.35504,0.024502,0.026515,0.10069,0.12205,1.2621894756409344
567.33,395.94,42.52,227.47,154.27,143.4,62.396,11.379,0.12004,0.27028,0.13117,0.11188,0.3556,0.024502,0.026589,0.10063,0.12173,1.2624179856891922
567.22,395.94,42.091,227.4,155.99,143.4,61.661,11.491,0.12006,0.27039,0.13111,0.11199,0.35645,0.024502,0.026469,0.10058,0.12176,1.26329559684574
573.38,418.2,41.471,231.04,151.78,118.68,62.143,11.409,0.11993,0.27045,0.13135,0.11115,0.35812,0.024817,0.026343,0.1003,0.12166,1.2641057977364931
573.35,395.04,41.787,226.9,147.09,145.09,62.152,11.379,0.12025,0.2704,0.13153,0.11123,0.3576,0.024604,0.026705,0.10068,0.12118,1.2641917454707243
578.13,395.08,43.339,226.96,152.16,145.08,62.17,11.341,0.12017,0.27031,0.13143,0.11165,0.35667,0.024594,0.026575,0.10083,0.12198,1.2642071169279148
566.61,418.12,41.739,231.62,153.15,118.72,62.131,11.41,0.11988,0.27042,0.1312,0.1115,0.35901,0.024752,0.026336,0.10015,0.1214,1.2646464340601944
567.39,395.94,42.009,226.44,154.32,143.4,61.96,11.367,0.12004,0.27034,0.13125,0.1117,0.35864,0.024542,0.026542,0.10065,0.12189,1.2655969309921995
574.49,412.82,41.349,227.85,149.04,120.59,62.347,11.459,0.12004,0.27053,0.13139,0.11076,0.35981,0.024812,0.026402,0.10032,0.12156,1.2656174034482353
567.27,395.94,42.627,225.71,160.18,143.4,61.737,11.365,0.11993,0.27031,0.13109,0.11216,0.35813,0.024514,0.026417,0.1007,0.12256,1.2658128608707981
