Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
616.73,2.1918,36.841,1.6469,0.10918,0.10918404605986824
616.73,2.1918,36.841,1.647,0.10918,0.10918405615982883
616.73,2.1918,36.841,1.6469,0.10918,0.10918406590079585
616.73,2.1918,36.841,1.6469,0.10918,0.1091840735321682
616.73,2.1918,36.841,1.6468,0.10918,0.10918409584068019
616.73,2.1918,36.841,1.647,0.10918,0.10918411722774907
616.73,2.1918,36.841,1.6467,0.10918,0.10918415665805288
616.73,2.1918,36.841,1.6468,0.10918,0.10918418261367453
616.73,2.1918,36.841,1.647,0.10918,0.1091841935684024
616.73,2.1918,36.841,1.6468,0.10918,0.10918420611357019
