evals,errors
1000,5.0378069377874795
2000,3.505397249887137
3000,3.2278099826954696
4000,3.2278099826954696
5000,3.2278099826954696
6000,3.0633401053970912
7000,3.0633401053970912
8000,3.0633401053970912
9000,3.0633401053970912
10000,3.0633401053970912
11000,3.0633401053970912
12000,3.0633401053970912
13000,3.0633401053970912
14000,3.0633401053970912
15000,3.0633401053970912
16000,3.0633401053970912
17000,3.0633401053970912
18000,3.0633401053970912
19000,3.0633401053970912
20000,3.0633401053970912
21000,3.0633401053970912
22000,3.0633401053970912
23000,3.0633401053970912
24000,3.0633401053970912
25000,3.0633401053970912
26000,3.0633401053970912
27000,3.0633401053970912
28000,3.0633401053970912
29000,3.0633401053970912
30000,3.0633401053970912
31000,3.0633401053970912
32000,3.0633401053970912
33000,3.0633401053970912
34000,3.0633401053970912
35000,3.0633401053970912
36000,3.0633401053970912
37000,3.0633401053970912
38000,3.0633401053970912
39000,3.0633401053970912
40000,3.0633401053970912
41000,3.0633401053970912
42000,3.0633401053970912
43000,3.0633401053970912
44000,3.0633401053970912
45000,3.0633401053970912
46000,3.0633401053970912
47000,3.0633401053970912
48000,3.0633401053970912
49000,3.0633401053970912
50000,3.0633401053970912
