Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
906.41,0.013453,2.6023,17.086,0.52444,0.07691,0.31508,0.16735,0.068647,0.12073,1.2731518204506436
907.19,0.01338,2.6308,17.038,0.52395,0.07692,0.31538,0.16755,0.068646,0.12076,1.2732108783794878
896.72,0.01365,2.9285,17.064,0.52448,0.076918,0.31529,0.16746,0.068625,0.12068,1.2734603212592015
898.73,0.013663,2.869,17.011,0.52502,0.076884,0.315,0.1673,0.06861,0.12071,1.273517300863701
875.8,0.013354,3.0053,16.908,0.52496,0.077161,0.31561,0.16743,0.068717,0.12044,1.2743165526190292
862.5,0.013457,2.8605,17.014,0.52791,0.077252,0.31446,0.16654,0.068781,0.12015,1.2750931859900871
888.89,0.013719,2.8801,17.612,0.52574,0.077078,0.31565,0.16751,0.068742,0.12039,1.2751154635682795
879.67,0.015382,3.6342,17.654,0.53139,0.076648,0.31271,0.16585,0.068477,0.12036,1.2754350588368988
857.07,0.01343,3.0301,16.939,0.52782,0.077292,0.31485,0.16675,0.06878,0.12013,1.2756287919103946
908.61,0.013812,2.6226,17.064,0.52882,0.076761,0.31398,0.16674,0.068576,0.12076,1.2756396746490526
