Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
1674.0,0.26966,494.4,10.976,0.73996,0.4049,0.11023,0.13592,0.13684,0.16039,0.065716,0.058513,0.13436,1.9468322071467865
1674.2,0.26814,494.39,11.225,0.69715,0.45547,0.11075,0.13478,0.13798,0.15968,0.066573,0.057987,0.13204,1.952398820775341
1695.3,0.2701,494.38,11.183,0.73442,0.42144,0.11054,0.13586,0.13697,0.16033,0.065722,0.058394,0.13296,1.9566335140032176
1685.4,0.27065,497.49,11.259,0.71147,0.45566,0.11077,0.13486,0.13769,0.1597,0.066315,0.058073,0.13164,1.9661822316176074
1677.6,0.26252,479.44,11.217,0.76875,0.39785,0.11049,0.13687,0.13726,0.16113,0.065966,0.05835,0.1348,1.971465268261554
1671.7,0.2679,494.4,11.083,0.73467,0.43657,0.11051,0.13509,0.13761,0.15985,0.066291,0.058175,0.13304,1.9718228452648612
1676.9,0.26629,478.53,10.897,0.83252,0.33057,0.10971,0.13922,0.13519,0.16262,0.064381,0.059348,0.13873,1.972298680272963
1676.6,0.26729,494.39,11.164,0.72213,0.4504,0.11067,0.13481,0.13789,0.15966,0.066478,0.058042,0.13229,1.9723763992963639
1629.8,0.26975,494.45,11.243,0.70054,0.47715,0.11077,0.13408,0.13878,0.15946,0.067394,0.057694,0.13218,1.9780526437631485
1697.1,0.26934,494.56,11.304,0.73477,0.44488,0.1108,0.13531,0.1375,0.15997,0.066115,0.058143,0.13179,1.9792749501379088
